,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,149866.762368,105.457803715,109.176519288,47.56991525423729,7.75131273170697
1,1,sex_female,Urbanity_Urban,Size_1,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,190755.23751500002,124.230479476,143.741838081,47.56991525423729,35.86718995765363
2,2,sex_female,Urbanity_Urban,Size_1,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,203914.036543,128.913341659,157.661053032,47.56991525423729,4.211736362322302
3,3,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,228166.357154,126.96772966399999,165.785910033,47.56991525423729,44.726556471262484
4,4,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,202508.61421600002,125.32391151799999,151.134317977,47.56991525423729,0.0
5,5,sex_male,Urbanity_Urban,Size_1,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,187211.889906,122.11290861799999,141.722537042,47.56991525423729,35.36809699563667
6,6,sex_female,Urbanity_Urban,Size_6,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,171256.328961,113.72371865299999,129.486374476,47.56991525423729,30.903347579235263
7,7,sex_female,Urbanity_Urban,Size_6,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,312824.598259,150.616613702,225.925427158,47.56991525423729,13.859248812909303
8,8,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,138671.10313,111.77126497799999,103.11093130200001,47.56991525423729,125.01386524070425
9,9,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,268963.156778,137.82878357299998,188.82434806900002,47.56991525423729,139.62522006970966
10,10,sex_female,Urbanity_Urban,Size_5,age_56_65,Education_Post_Graduate,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,290509.07591799996,138.501407958,210.33092703,47.56991525423729,0.0
11,11,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,289169.3398,137.303624916,204.39020407,47.56991525423729,0.0
12,12,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,213821.377695,134.521040346,156.91807994299998,47.56991525423729,168.54292708685995
13,13,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,225914.072511,125.179828657,171.233295084,47.56991525423729,137.38656645354553
14,14,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,220338.90006999997,124.82002740600001,168.444074919,47.56991525423729,136.88747349152862
15,15,sex_female,Urbanity_Urban,Size_2,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,202248.75465,128.305892796,153.207060153,47.56991525423729,107.14080964751425
16,16,sex_female,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,218434.88275999998,124.536266383,160.85018892,47.56991525423729,0.0
