,Electricity,Income,Water,e_AC,e_Lighting,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,105.457803715,149866.762368,109.176519288,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,0.0,31.0,1,2.75131273170697
1,124.230479476,190755.237515,143.741838081,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_1,sex_female,Urbanity_Urban,1.0,81.0,1,4.867189957653629
2,128.913341659,203914.036543,157.661053032,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_1,sex_female,Urbanity_Urban,2.0,81.0,1,0.21173636232230209
3,126.96772966399999,228166.357154,165.785910033,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,3.0,81.0,1,2.7265564712624766
5,122.11290861799999,187211.889906,141.722537042,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,5.0,81.0,1,5.3680969956366695
6,113.72371865299999,171256.328961,129.486374476,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_6,sex_female,Urbanity_Urban,6.0,31.0,1,13.903347579235266
7,150.616613702,312824.598259,225.925427158,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_6,sex_female,Urbanity_Urban,7.0,81.0,1,1.8592488129093052
8,111.77126497799999,138671.10313,103.11093130200001,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,8.0,31.0,1,54.013865240704234
9,137.82878357299998,268963.156778,188.82434806900002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,9.0,81.0,1,9.625220069709655
12,134.521040346,213821.377695,156.91807994299998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,12.0,81.0,1,15.542927086859976
13,125.179828657,225914.072511,171.233295084,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,13.0,81.0,1,12.386566453545527
14,124.82002740600001,220338.90007,168.444074919,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,14.0,81.0,1,12.887473491528624
15,128.305892796,202248.75465,153.207060153,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,15.0,81.0,1,9.140809647514232
17,128.86259021200001,235415.053822,164.97831991799998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_1,sex_male,Urbanity_Urban,17.0,81.0,1,0.10584357381780762
18,136.500624916,240827.012413,170.796197432,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_1,sex_male,Urbanity_Urban,18.0,81.0,1,0.4503899784863945
19,138.547616868,256859.364304,184.76914113599997,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,19.0,81.0,1,24.280673665041007
20,132.50023365299998,224180.370004,166.273229221,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,20.0,81.0,1,10.887473491528624
22,129.544489215,229536.46453000003,161.209035945,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_7,sex_female,Urbanity_Urban,22.0,61.0,1,7.689465268543614
23,117.901146576,186332.823158,139.85378046399998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_female,Urbanity_Urban,23.0,61.0,1,19.221057584756167
24,142.780390035,273130.856202,199.60311042900003,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Graduate,Size_5,sex_female,Urbanity_Urban,24.0,81.0,1,1.1893055680837321
25,110.091051991,174250.71293900002,133.314757805,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Urban,25.0,31.0,1,61.3774182180706
26,137.201508142,266180.104733,194.762986167,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,26.0,81.0,1,6.6252200697096555
27,132.452544012,232759.234813,175.990649483,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,27.0,81.0,1,5.225649433279351
28,107.454871953,145297.024637,110.305118035,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,28.0,31.0,1,12.852948220438073
29,94.740557771,108191.019788,81.7781314615,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_1,sex_female,Urbanity_Urban,29.0,31.0,1,9.993581706829229
30,156.099769696,285736.246421,211.30840431,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,30.0,81.0,1,4.261700572770778
31,154.81572064,270315.664646,193.89589126,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,31.0,81.0,1,13.625220069709655
32,120.50072289200001,203372.545638,135.248046829,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Rural,32.0,51.0,1,18.541346457449805
33,91.6487637802,110541.433632,71.0814561874,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Rural,33.0,1.0,1,4.156775342205345
34,114.982414763,184337.61582,129.820281678,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Rural,34.0,51.0,1,13.685837188360999
36,127.431558883,204984.242623,151.813144955,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,36.0,81.0,1,9.986263090166048
37,134.735310464,258389.893166,182.798159828,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,37.0,81.0,1,4.724009668347094
38,127.332172316,225948.47745700003,169.009090672,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,38.0,81.0,1,4.726556471262477
39,142.477657433,253369.331904,176.65749892,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_3,sex_male,Urbanity_Urban,39.0,81.0,1,13.053732103005771
41,139.81518747799998,274191.460848,194.37272304,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_College,Size_5,sex_male,Urbanity_Urban,41.0,81.0,1,2.136490645479931
43,118.30260474299999,195245.822134,138.28321020299998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Rural,43.0,51.0,1,3.285897138319605
44,102.263831959,133648.130409,101.09848283,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,44.0,31.0,1,53.013865240704234
45,138.711373249,271145.980173,196.73647797,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,45.0,81.0,1,8.625220069709655
46,145.727084577,282786.415916,204.76724125,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Urban,46.0,81.0,1,2.9633960114603966
47,114.90103238,155938.826364,114.352704913,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_female,Urbanity_Urban,47.0,31.0,1,4.25040569372384
48,107.60261467299999,116502.276882,84.7321332246,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,48.0,31.0,1,54.544108908744775
49,145.706403617,247783.996315,175.710607164,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_College,Size_3,sex_male,Urbanity_Urban,49.0,81.0,1,10.155463737750182
50,149.441405381,290545.09545100003,210.842201868,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_66_75,Education_College,Size_3,sex_female,Urbanity_Urban,50.0,81.0,1,13.58347145585077
51,114.01742471700001,166315.913788,121.565805991,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_male,Urbanity_Urban,51.0,31.0,1,19.82075422137664
52,104.70541835200001,122174.884846,91.91744108959999,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,52.0,31.0,1,33.11265483934165
