,index,n_BuildingSqm,n_BuildingKwh,NonRElectricity,w,wf
0,0,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
1,1,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
2,2,406.726338714,243.0,29850.162028099996,0.154,0.0
3,3,406.726338714,243.0,29850.162028099996,0.154,0.0
4,4,406.726338714,243.0,29850.162028099996,0.154,0.0
5,5,406.726338714,243.0,29850.162028099996,0.154,0.0
6,6,406.726338714,243.0,29850.162028099996,0.154,0.0
7,7,637.229859886,296.0,65648.0431331,0.154,0.0
8,8,296.280540763,137.0,14168.9047685,0.154,3.309378841403412
9,9,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
10,10,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
11,11,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
12,12,637.229859886,296.0,65648.0431331,0.154,0.0
13,13,312.594751517,631.0,65940.4053426,0.154,0.0
14,14,406.726338714,243.0,29850.162028099996,0.154,0.0
15,15,719.587128022,262.0,77984.59555089999,0.154,0.6151673118975782
16,16,637.229859886,296.0,65648.0431331,0.154,0.0
17,17,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
18,18,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
19,19,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
20,20,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
21,21,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
22,22,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
23,23,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
24,24,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
25,25,406.726338714,243.0,29850.162028099996,0.154,0.0
26,26,406.726338714,243.0,29850.162028099996,0.154,0.0
27,27,406.726338714,243.0,29850.162028099996,0.154,0.0
28,28,703.6254615639999,316.0,79114.259915,0.154,0.0
29,29,637.229859886,296.0,65648.0431331,0.154,0.0
30,30,406.726338714,243.0,29850.162028099996,0.154,0.0
31,31,312.594751517,631.0,65940.4053426,0.154,0.0
32,32,312.594751517,631.0,65940.4053426,0.154,0.0
33,33,406.726338714,243.0,29850.162028099996,0.154,0.0
34,34,637.229859886,296.0,65648.0431331,0.154,0.0
35,35,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
36,36,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
37,37,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
38,38,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
39,39,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
40,40,406.726338714,243.0,29850.162028099996,0.154,0.0
41,41,406.726338714,243.0,29850.162028099996,0.154,0.0
42,42,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
43,43,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
44,44,406.726338714,243.0,29850.162028099996,0.154,0.0
45,45,406.726338714,243.0,29850.162028099996,0.154,0.0
46,46,637.229859886,296.0,65648.0431331,0.154,0.0
47,47,406.726338714,243.0,29850.162028099996,0.154,0.0
48,48,406.726338714,243.0,29850.162028099996,0.154,0.0
49,49,637.229859886,296.0,65648.0431331,0.154,0.0
50,50,312.594751517,631.0,65940.4053426,0.154,0.0
51,51,497.42790442,233.0,40122.4338562,0.154,0.0
52,52,312.594751517,631.0,65940.4053426,0.154,0.0
53,53,312.594751517,631.0,65940.4053426,0.154,0.0
54,54,703.6254615639999,316.0,79114.259915,0.154,0.0
55,55,637.229859886,296.0,65648.0431331,0.154,0.0
56,56,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
57,57,703.6254615639999,316.0,79114.259915,0.154,0.0
58,58,637.229859886,296.0,65648.0431331,0.154,0.0
59,59,406.726338714,243.0,29850.162028099996,0.154,0.0
60,60,406.726338714,243.0,29850.162028099996,0.154,0.0
61,61,637.229859886,296.0,65648.0431331,0.154,0.0
62,62,719.587128022,262.0,77984.59555089999,0.154,0.6151673118975782
63,63,312.594751517,631.0,65940.4053426,0.154,0.0
64,64,637.229859886,296.0,65648.0431331,0.154,0.0
65,65,312.594751517,631.0,65940.4053426,0.154,0.0
66,66,406.726338714,243.0,29850.162028099996,0.154,0.0
67,67,406.726338714,243.0,29850.162028099996,0.154,0.0
68,68,312.594751517,631.0,65940.4053426,0.154,0.0
69,69,637.229859886,296.0,65648.0431331,0.154,0.0
70,70,719.587128022,262.0,77984.59555089999,0.154,0.6151673118975782
71,71,312.594751517,631.0,65940.4053426,0.154,0.0
72,72,312.594751517,631.0,65940.4053426,0.154,0.0
73,73,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
74,74,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
75,75,637.229859886,296.0,65648.0431331,0.154,0.0
76,76,406.726338714,243.0,29850.162028099996,0.154,0.0
77,77,296.280540763,137.0,14168.9047685,0.154,3.309378841403412
78,78,312.594751517,631.0,65940.4053426,0.154,0.0
79,79,719.587128022,262.0,77984.59555089999,0.154,0.6151673118975782
80,80,703.6254615639999,316.0,79114.259915,0.154,0.0
81,81,637.229859886,296.0,65648.0431331,0.154,0.0
82,82,637.229859886,296.0,65648.0431331,0.154,0.0
83,83,719.587128022,262.0,77984.59555089999,0.154,0.6151673118975782
84,84,719.587128022,262.0,77984.59555089999,0.154,0.6151673118975782
85,85,296.280540763,137.0,14168.9047685,0.154,3.309378841403412
86,86,406.726338714,243.0,29850.162028099996,0.154,0.0
87,87,406.726338714,243.0,29850.162028099996,0.154,0.0
88,88,406.726338714,243.0,29850.162028099996,0.154,0.0
89,89,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
90,90,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
91,91,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
92,92,406.726338714,243.0,29850.162028099996,0.154,0.0
93,93,406.726338714,243.0,29850.162028099996,0.154,0.0
94,94,406.726338714,243.0,29850.162028099996,0.154,0.0
95,95,406.726338714,243.0,29850.162028099996,0.154,0.0
96,96,312.594751517,631.0,65940.4053426,0.154,0.0
97,97,296.280540763,137.0,14168.9047685,0.154,3.309378841403412
98,98,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
99,99,312.594751517,631.0,65940.4053426,0.154,0.0
100,100,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
101,101,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
102,102,406.726338714,243.0,29850.162028099996,0.154,0.0
103,103,637.229859886,296.0,65648.0431331,0.154,0.0
104,104,406.726338714,243.0,29850.162028099996,0.154,0.0
105,105,637.229859886,296.0,65648.0431331,0.154,0.0
106,106,719.587128022,262.0,77984.59555089999,0.154,0.6151673118975782
107,107,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
108,108,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
109,109,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
110,110,312.594751517,631.0,65940.4053426,0.154,0.0
111,111,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
112,112,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
113,113,637.229859886,296.0,65648.0431331,0.154,0.0
114,114,312.594751517,631.0,65940.4053426,0.154,0.0
115,115,406.726338714,243.0,29850.162028099996,0.154,0.0
116,116,637.229859886,296.0,65648.0431331,0.154,0.0
117,117,637.229859886,296.0,65648.0431331,0.154,0.0
118,118,637.229859886,296.0,65648.0431331,0.154,0.0
119,119,312.594751517,631.0,65940.4053426,0.154,0.0
120,120,406.726338714,243.0,29850.162028099996,0.154,0.0
121,121,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
122,122,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
123,123,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
124,124,837.2166583610001,293.0,104624.120488,0.154,0.12104776967836543
