i_Sex,c_i_Sex,i_Urbanity,c_i_Urbanity,i_FamilySize,c_i_FamilySize,i_Age,c_i_Age,i_Education,e_Lighting,c_e_Lighting,e_TV,c_e_TV,e_Cooking,c_e_Cooking,e_Refrigeration,c_e_Refrigeration,e_AC,c_e_AC,e_Urban,c_e_Urban,c_e_Income,c_w_Sex,c_w_Urbanity,c_w_Total_Family_Income,c_w_FamilySize,c_w_Age,w_Education,i_Intercept,c_i_Education,Income__0,e_Intercept,Electricity__0,w_Intercept,c_w_Education,Water__0
0,919.012059036,0,7105.22445663,4,1666.84639522,53.0966683353,116.575897706,2,1,0.825661590942,1,18.7899086369,0,28.8862421461,0,59.2432357338,0,203.322615455,1,24.5934998764,0.00142606675157,98.495046208,1000.97890777,0.0531870120086,49.7393515183,6.08894188165,3,1147.66399223,11959.091528,184086.780914,3.2999838733,55.5043909016,-601.591950028,260.327274277,10232.3483593
0,919.012059036,1,7105.22445663,4,1666.84639522,53.0966683353,116.575897706,2,1,0.825661590942,1,18.7899086369,0,28.8862421461,1,59.2432357338,0,203.322615455,1,24.5934998764,0.00142606675157,98.495046208,1000.97890777,0.0531870120086,49.7393515183,6.08894188165,2,1147.66399223,11959.091528,234463.505583,3.2999838733,85.7766288114,-601.591950028,260.327274277,13912.714727
1,919.012059036,0,7105.22445663,4,1666.84639522,53.0966683353,116.575897706,3,1,0.825661590942,1,18.7899086369,0,28.8862421461,1,59.2432357338,1,203.322615455,1,24.5934998764,0.00142606675157,98.495046208,1000.97890777,0.0531870120086,49.7393515183,6.08894188165,0,1147.66399223,18727.4606703,238591.052885,3.2999838733,121.676000177,-601.591950028,101.70283943,13014.2167431
0,919.012059036,1,7105.22445663,5,1666.84639522,53.0966683353,116.575897706,2,1,0.825661590942,1,18.7899086369,0,28.8862421461,0,59.2432357338,0,203.322615455,1,24.5934998764,0.00142606675157,98.495046208,1000.97890777,0.0531870120086,49.7393515183,6.08894188165,0,1147.66399223,11959.091528,246281.606816,3.2999838733,77.5337116276,-601.591950028,260.327274277,14591.0235707
0,918.94889729,0,7105.34280873,5,1667.00737691,53.0993616376,116.580984498,0,1,0.825614985183,1,18.7904212465,0,28.8830497462,1,59.2442167063,0,203.325815463,1,24.5938675586,0.00146112613476,98.4901470755,1000.93798265,0.0531368783367,49.7388787092,6.08886111898,2,1147.66399223,1.0,111130.711327,3.2999838733,47.5513023974,-601.591950028,1.0,5875.55616927
0,917.663829154,1,7114.19976627,4,1668.65178033,53.1187824694,116.71490376,0,1,0.823700343481,1,18.7714431492,0,28.8715790376,1,59.2121063954,1,203.149265959,1,24.5609662489,0.0014809979316,98.6533860523,1003.34321447,0.0526207605825,49.7134763301,6.08394081197,1,1147.66399223,1.0,149864.9541,3.2999838733,103.404805781,-601.591950028,1.0,8809.78456772
0,917.779964751,0,7113.35490208,3,1669.18322686,53.143384083,116.820378301,1,1,0.821724078016,1,18.7613002906,0,28.8722608684,1,59.2507776216,0,202.978726287,1,24.5539248548,0.00148409339329,98.6359846505,1003.73560806,0.0528774146848,49.685838802,6.08360158881,3,1147.66399223,6023.86254599,130367.77095,3.2999838733,53.5940920846,-601.591950028,214.401145313,6978.6805736
0,917.257366363,1,7115.38500495,3,1667.83860886,53.1519631229,116.88390328,0,1,0.822190261057,1,18.7662391485,0,28.8692415508,0,59.2578600937,0,202.959219565,1,24.5814148909,0.00148612114595,98.50244725,1003.45714715,0.0530228535396,49.7350144529,6.08426283798,1,1147.66399223,1.0,138116.305124,3.2999838733,49.1441160135,-601.591950028,1.0,8197.78137252
1,915.094074478,1,7090.81788987,4,1672.85336558,53.1734780994,116.986149392,0,1,0.823611935415,1,18.7978314848,0,28.7781846499,1,59.3231121538,0,202.524755221,1,24.5933339992,0.00147050213382,98.9721688394,1001.66113266,0.0530278393221,49.6171192809,6.058761365,3,1147.66399223,1.0,156453.960611,3.2999838733,65.5126351767,-601.591950028,1.0,9316.09072793
0,914.187719031,0,7120.33118347,4,1664.26488294,53.0695038774,117.187924458,0,1,0.814391865182,1,18.7735685237,0,28.7853386435,0,59.4940330336,0,202.718669231,1,24.7025704119,0.0013852220433,99.3003331082,1002.67902756,0.0526834491872,49.6551803792,6.06058942935,0,1147.66399223,1.0,99437.3830085,3.2999838733,31.2354693079,-601.591950028,1.0,5157.36556075
0,907.464857987,1,7122.69486349,4,1653.57768107,52.5431404683,117.988177817,3,1,0.811131577046,1,18.6890361032,0,29.3181536993,1,59.0472365443,1,202.350427728,1,24.6132587888,0.00139629959886,99.5309798506,1000.6192845,0.0538917501412,50.590052039,6.14652023517,1,1147.66399223,18727.4606703,282268.069994,3.2999838733,136.690592629,-601.591950028,101.70283943,16441.3738379
0,907.464857987,1,7122.69486349,5,1653.57768107,52.5431404683,117.988177817,0,1,0.811131577046,1,18.6890361032,0,29.3181536993,1,59.0472365443,0,202.350427728,1,24.6132587888,0.00139629959886,99.5309798506,1000.6192845,0.0538917501412,50.590052039,6.14652023517,3,1147.66399223,1.0,161219.687792,3.2999838733,64.4757767457,-601.591950028,1.0,9663.34620311
1,906.408795716,1,7134.42950013,4,1654.3670893,52.5637995064,117.960081429,0,1,0.811320343884,1,18.6914520203,0,29.3351554173,0,59.0493268022,0,202.123961732,1,24.6072385061,0.00142423510574,99.5577504797,1000.5790053,0.0532199819641,50.5516347457,6.14598021646,3,1147.66399223,1.0,156034.587405,3.2999838733,52.4328451359,-601.591950028,1.0,9327.96534407
0,907.464790753,0,7136.05166501,4,1653.67698663,52.5249121691,118.025199097,2,1,0.807758579866,1,18.6535465805,0,29.3455539719,1,59.1693545819,1,202.010453878,1,24.6907286162,0.00146220818559,99.7634872473,998.283699835,0.0523518811763,50.3814693754,6.14121443568,3,1147.66399223,11959.091528,183780.44484,3.2999838733,107.468763633,-601.591950028,260.327274277,10064.4072357
1,904.91918731,1,7130.89627736,4,1666.29283953,52.6715758404,116.890205281,2,1,0.795022069061,1,18.6948832188,0,29.3597666676,0,58.7875346537,0,201.043760726,1,24.8567675487,0.00138908475457,100.033868734,995.314763654,0.0525766011408,50.1703526941,6.11016724009,2,1147.66399223,11959.091528,240811.809805,3.2999838733,74.3119037164,-601.591950028,260.327274277,14197.991253
0,906.614680897,0,7142.71669586,3,1658.94923125,52.7465357238,116.980651639,2,1,0.787958187437,1,18.7576978363,0,29.4236105128,1,58.8349567637,1,200.879036097,1,24.7650615656,0.00139659475913,100.557966789,997.533396988,0.0531279493025,50.0265547903,6.11190092267,3,1147.66399223,11959.091528,171962.677173,3.2999838733,101.645892509,-601.591950028,260.327274277,9527.54825803
0,906.614680897,1,7142.71669586,2,1658.94923125,52.7465357238,116.980651639,3,1,0.787958187437,1,18.7576978363,0,29.4236105128,1,58.8349567637,0,200.879036097,1,24.7650615656,0.00139659475913,100.557966789,997.533396988,0.0531279493025,50.0265547903,6.11190092267,3,1147.66399223,18727.4606703,258831.503938,3.2999838733,90.9910343126,-601.591950028,101.70283943,14874.6716943
