,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,301290.839655,132.801265229,17191.696086,36.54369918699187,21.8912522912703
1,1,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,254349.570528,83.387621322,15085.8505666,36.54369918699187,22.994445245195585
2,2,sex_male,Urbanity_Rural,Size_2,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,83789.56988089999,68.0587215854,4339.47650195,36.54369918699187,34.93765551188788
3,3,sex_male,Urbanity_Rural,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,184687.135878,97.2657119532,10299.891482500001,36.54369918699187,27.027833796580254
4,4,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,102868.320408,71.4002521747,5487.93671984,36.54369918699187,15.104089965399586
5,5,sex_female,Urbanity_Rural,Size_4,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,113665.268563,81.5782090029,6183.69114587,36.54369918699187,15.47148700886408
6,6,sex_female,Urbanity_Rural,Size_4,age_76_85,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,261921.0637,95.511287868,14093.479657,36.54369918699187,7.31926837787313
7,7,sex_male,Urbanity_Rural,Size_4,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,88395.6394874,26.447406997399998,4651.4648234,36.54369918699187,48.789887097368464
8,8,sex_male,Urbanity_Rural,Size_4,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,126992.648808,83.2684264207,6675.87746667,36.54369918699187,43.7861198661754
9,9,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,164884.308959,52.288177151199996,9923.4278056,36.54369918699187,23.1738909409237
