,index,i_Sex,c_i_Sex,i_Urbanity,c_i_Urbanity,i_FamilySize,c_i_FamilySize,i_Age,c_i_Age,i_Education,e_Lighting,c_e_Lighting,e_TV,c_e_TV,e_Cooking,c_e_Cooking,e_Refrigeration,c_e_Refrigeration,e_AC,c_e_AC,e_Urban,c_e_Urban,c_e_Income,c_w_Sex,c_w_Urbanity,c_w_Total_Family_Income,c_w_FamilySize,c_w_Age,w_Education,i_Intercept,c_i_Education,Income,e_Intercept,Electricity,w_Intercept,c_w_Education,Water,w
0,0,0,987.4691244139999,1,7257.69522945,4,1655.54191069,47.7897453133,111.74467928799999,0,1,7.526939189189999,1,18.1560302892,0,26.4340356725,0,61.954387042200004,0,202.09151916099998,1,25.8014773902,0.00139758856253,137.484081828,981.3318638430001,0.0549504221464,41.1298399792,6.8287138971,1,1147.66399223,1.0,144416.585046,3.2999838733,49.900936687299996,-601.591950028,1.0,109.85646381299999,34.13874614594039
1,1,0,911.97132486,1,6884.65310161,4,1648.8098389,51.7205855387,123.663830586,0,1,16.0466390241,1,19.8078395897,0,27.0988132931,0,59.9505735372,0,205.493690842,1,22.4211853835,0.0014478989381500002,93.6170186835,1009.69705397,0.053433505478800006,43.4504067086,6.51561689285,1,1147.66399223,1.0,149065.884053,3.2999838733,53.94338189649999,-601.591950028,1.0,110.825208906,34.13874614594039
2,2,1,683.193727885,1,7087.62924542,5,1673.37563339,84.0731850714,118.35206456700001,1,1,-10.0930523914,1,16.7743506359,0,30.994468278899998,0,61.4022222005,0,204.87091714299999,1,24.3824981368,0.00138891664548,142.890835774,942.616567327,0.0533810277012,46.7476953634,5.349187425819999,0,1147.66399223,6023.86254599,235812.78897199998,3.2999838733,70.3709645279,-601.591950028,214.401145313,174.26765173,34.13874614594039
3,3,0,765.252074412,1,7234.24301478,7,1650.21404471,52.075462617,111.65302469299999,3,1,18.5548811467,1,16.9642384664,0,29.7461540566,0,58.9602249649,1,202.634160267,1,23.2466396433,0.00143821667531,59.82089277520001,967.436212833,0.0543829426406,44.9704194558,5.37824748653,2,1147.66399223,18727.4606703,315333.791674,3.2999838733,139.661156611,-601.591950028,101.70283943,229.716272292,34.13874614594039
4,4,0,881.577841075,1,7225.86438353,4,1680.0455726,63.279637460100005,113.81481330700001,0,1,-23.4497492182,1,16.6066043038,0,32.5546853632,0,58.138785110600004,0,196.975543477,1,23.8088776114,0.0014443676203499999,111.027083496,1026.1254281,0.052959360803,45.8107685329,6.41598590286,2,1147.66399223,1.0,158086.95807,3.2999838733,48.341796478,-601.591950028,1.0,117.086888851,34.13874614594039
5,5,1,1053.64241864,1,7152.56148855,4,1707.16586963,65.9611919558,113.395660257,0,1,-26.224012403299998,0,20.1312289104,0,32.4442449894,0,57.7977845829,0,199.298422958,1,23.9736128511,0.00143215519126,97.8201780364,1014.81567948,0.052285496046,55.2362405086,6.847780922389999,1,1147.66399223,1.0,167774.677591,3.2999838733,46.9276337877,-601.591950028,1.0,124.19617049,34.13874614594039
6,6,0,728.460203673,1,7118.77023387,4,1699.31889656,48.374244580500005,120.068249869,1,1,23.239478043400002,0,16.1100431604,0,25.186209618200003,1,59.079640411599996,0,205.89301320200002,1,25.666745648600003,0.0014853932165999999,115.55546309200001,998.573465393,0.053413415188300006,58.7977123733,6.66002756991,0,1147.66399223,6023.86254599,190693.689622,3.2999838733,76.7204804069,-601.591950028,214.401145313,141.641883396,34.13874614594039
7,7,0,724.717942118,1,7116.97614297,4,1659.67903737,47.37200225310001,119.294032385,3,1,22.770484275599998,0,15.5489666562,0,24.5877043225,1,57.940391448,0,205.874469258,1,24.218871117600003,0.0014807266331,118.309952279,1012.92911388,0.0534027496937,60.3483264817,6.36313293716,0,1147.66399223,18727.4606703,278513.25769299996,3.2999838733,101.23946641100001,-601.591950028,101.70283943,201.249637225,34.13874614594039
8,8,0,798.8854526289999,1,7109.79328338,8,1662.93202555,69.6986251108,114.257593541,0,1,14.824748553800001,1,17.6643350953,0,34.2377307984,0,57.390379018500006,0,209.452511638,1,23.633245456199997,0.0013961231126300001,73.2299029651,1015.70147335,0.0524589790076,43.1634053243,6.66480864518,0,1147.66399223,1.0,209338.709878,3.2999838733,68.3869078369,-601.591950028,1.0,152.261470389,34.13874614594039
9,9,0,759.91240912,1,7057.71376632,9,1701.60998929,47.8852283587,114.119824575,1,1,0.18029450180300002,0,20.3249914898,0,28.0010121456,1,57.4584007111,0,200.31571762299998,1,24.976997511999997,0.0013749235443900002,101.793631672,997.7194005839999,0.053538499364099996,48.873177197,5.98247619572,1,1147.66399223,6023.86254599,248212.80961199998,3.2999838733,83.0691170863,-601.591950028,214.401145313,182.452208771,34.13874614594039
10,10,0,639.8135771880001,1,7185.84874676,9,1713.78908756,37.5610316736,116.58007462299999,1,1,5.715517278280001,1,19.124989567,0,27.7514024401,1,56.8163631651,0,199.741747075,1,26.219780753200002,0.0013517065443199997,73.8981880477,1017.67086433,0.053526966163400004,42.5463548614,6.103619571830001,1,1147.66399223,6023.86254599,242200.130702,3.2999838733,85.2802311403,-601.591950028,214.401145313,177.226476343,34.13874614594039
11,13,0,1137.6459757,1,7131.37055587,6,1667.51355341,29.7827066723,114.005046295,1,1,7.5273104793300005,1,17.4206703149,0,30.5237731406,0,61.340655606700004,0,206.78158841299998,1,26.792014237300002,0.00138417911456,92.01269538940001,1019.14582234,0.0508746537565,59.7867323751,6.32552057501,2,1147.66399223,6023.86254599,196419.46711,3.2999838733,63.57118562189999,-601.591950028,214.401145313,139.365134057,34.13874614594039
