,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,144416.585046,49.900936687299996,109.85646381299999,34.13874614594039,34.8096079049272
1,1,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,149065.884053,53.94338189649999,110.825208906,34.13874614594039,34.8096079049272
2,2,sex_female,Urbanity_Urban,Size_5,age_76_85,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,235812.78897199998,70.3709645279,174.26765173,34.13874614594039,14.590743286164859
3,3,sex_male,Urbanity_Urban,Size_7,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,315333.791674,139.661156611,229.716272292,34.13874614594039,43.573462059099846
4,4,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,158086.95807,48.341796478,117.086888851,34.13874614594039,25.555981718694568
5,5,sex_female,Urbanity_Urban,Size_4,age_56_65,Education_Elementary_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,167774.677591,46.9276337877,124.19617049,34.13874614594039,24.51025678073543
6,6,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_High_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_yes,AC_no,190693.689622,76.7204804069,141.641883396,34.13874614594039,33.04106518038304
7,7,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_College,Lighting_yes,TV_no,Cooking_no,Refrigeration_yes,AC_no,278513.25769299996,101.23946641100001,201.249637225,34.13874614594039,33.088904353974854
8,8,sex_male,Urbanity_Urban,Size_8,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,209338.709878,68.3869078369,152.261470389,34.13874614594039,22.378280343452158
9,9,sex_male,Urbanity_Urban,Size_9,age_46_55,Education_High_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_yes,AC_no,248212.80961199998,83.0691170863,182.452208771,34.13874614594039,26.685712185448068
10,10,sex_male,Urbanity_Urban,Size_9,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,242200.130702,85.2802311403,177.226476343,34.13874614594039,52.4553833847665
11,11,sex_male,Urbanity_Urban,Size_6,age_26_35,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,196419.46711,63.57118562189999,139.365134057,34.13874614594039,28.79110214121365
12,12,sex_male,Urbanity_Urban,Size_6,age_26_35,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,235726.059067,72.0613548269,171.52790924200002,34.13874614594039,26.104843880385946
13,13,sex_female,Urbanity_Urban,Size_9,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,251879.15974099998,74.9676646428,180.7584778,34.13874614594039,30.648831094313028
14,14,sex_female,Urbanity_Urban,Size_7,age_66_75,Education_Post_Secondary,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,287633.400964,79.1199816103,206.194825822,34.13874614594039,30.24860082775123
15,15,sex_female,Urbanity_Urban,Size_7,age_66_75,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,246581.700654,86.5376827783,174.17790046599998,34.13874614594039,30.70127680598625
16,16,sex_female,Urbanity_Urban,Size_7,age_56_65,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,317585.977308,108.77256527700001,219.953701175,34.13874614594039,31.233213304968277
