,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_Cooking,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_Post_Secondary,Lighting_yes,Cooking_yes,AC_yes,199004.605904,122.85505052299999,151.97505061200002,43.96098562628337,16.445411789769235
1,1,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_High_School,Lighting_yes,Cooking_no,AC_yes,186753.999038,112.375646268,137.568032057,43.96098562628337,35.95715020115281
2,2,sex_male,Urbanity_Rural,Size_4,age_36_45,Education_Post_Graduate,Lighting_yes,Cooking_no,AC_yes,207510.533699,112.816900671,136.254713225,43.96098562628337,33.46792738318361
3,3,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Post_Secondary,Lighting_yes,Cooking_yes,AC_yes,246619.461035,131.647769484,183.355289825,43.96098562628337,26.956231603595178
4,4,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Elementary_School,Lighting_yes,Cooking_yes,AC_yes,182811.90238800002,114.200959162,132.931370856,43.96098562628337,0.0
5,5,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Lighting_yes,Cooking_no,AC_yes,254010.232855,129.018809092,178.045412749,43.96098562628337,85.44668706475834
6,6,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,Cooking_no,AC_yes,184289.088711,106.756645035,136.94912731899998,43.96098562628337,103.8216145057479
7,7,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Post_Graduate,Lighting_yes,Cooking_no,AC_yes,238458.01545700003,125.588229846,165.198742174,43.96098562628337,84.2267206603072
8,8,sex_male,Urbanity_Rural,Size_2,age_66_75,Education_Post_Graduate,Lighting_yes,Cooking_no,AC_yes,208168.197303,111.764306616,133.79042763200002,43.96098562628337,29.42304384523996
9,9,sex_male,Urbanity_Rural,Size_2,age_56_65,Education_High_School,Lighting_yes,Cooking_no,AC_yes,124295.354132,85.4643032143,86.23099634809999,43.96098562628337,14.830898581365656
10,10,sex_male,Urbanity_Rural,Size_2,age_56_65,Education_Elementary_School,Lighting_yes,Cooking_yes,AC_yes,76133.3507698,84.1500578902,50.187683248,43.96098562628337,11.520707151900869
11,11,sex_male,Urbanity_Rural,Size_2,age_36_45,Education_Post_Secondary,Lighting_yes,Cooking_no,AC_yes,151128.03863,101.722689269,103.065584394,43.96098562628337,96.54249662264877
