,index,i_Sex,i_FamilySize,i_Age,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,184855.555657,286.53191586599996,9702.84329073,2996.5833333333335,5442.652275357214
1,1,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,245807.247454,369.948740493,12937.7921171,2996.5833333333335,484.7436386848458
2,2,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,191694.899704,548.746025968,10434.109104899999,2996.5833333333335,3062.354085957939
3,3,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,184855.555657,286.53191586599996,9702.84329073,2996.5833333333335,5442.652275357214
4,4,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,245807.247454,369.948740493,12937.7921171,2996.5833333333335,484.7436386848458
5,5,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,191694.899704,548.746025968,10434.109104899999,2996.5833333333335,3062.354085957939
6,6,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,184855.555657,286.53191586599996,9702.84329073,2996.5833333333335,5442.652275357214
7,7,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,245807.247454,369.948740493,12937.7921171,2996.5833333333335,484.7436386848458
8,8,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,191694.899704,548.746025968,10434.109104899999,2996.5833333333335,3062.354085957939
9,9,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,184855.555657,286.53191586599996,9702.84329073,2996.5833333333335,5442.652275357214
10,10,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,245807.247454,369.948740493,12937.7921171,2996.5833333333335,484.7436386848458
11,11,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,191694.899704,548.746025968,10434.109104899999,2996.5833333333335,3062.354085957939
