,index,i_Sex,c_i_Sex,i_Urbanity,c_i_Urbanity,i_FamilySize,c_i_FamilySize,i_Age,c_i_Age,i_Education,c_i_Education,e_Lighting,c_e_Lighting,e_TV,c_e_TV,e_Cooking,c_e_Cooking,e_Refrigeration,c_e_Refrigeration,e_AC,c_e_AC,e_Urban,c_e_Urban,c_e_Income,c_w_Sex,c_w_Urbanity,c_w_Total_Family_Income,c_w_FamilySize,c_w_Age,w_Education,c_w_Education,i_Intercept,Income,e_Intercept,Electricity,w_Intercept,Water,w
0,0,0,919.0120590360001,0,7105.22445663,3,1666.84639522,53.096668335299995,116.575897706,0,1.0,1,0.825661590942,1,18.7899086369,0,28.886242146100003,0,59.2432357338,0,203.322615455,1,24.5934998764,0.00142606675157,98.49504620799999,1000.97890777,0.0531870120086,49.7393515183,6.088941881649999,2,1.0,1147.66399223,184855.555657,3.2999838733,58.0676220785,-601.591950028,129.808430329,2996.5833333333335
1,1,1,905.768319865,0,7130.86420329,4,1664.83403607,67.6212048008,113.77665573600001,0,0.999999999997,1,1.58032452375,1,18.4581879478,0,29.293553418400002,0,58.863783811400005,0,203.020132135,1,24.5328196867,0.0014100896037000002,89.0167054593,1011.25816869,0.052352129791099995,47.6248838838,5.787162546269999,2,1.0,1147.66399223,245807.247454,3.2999838733,74.9726032663,-601.591950028,173.08684025,2996.5833333333335
2,2,1,781.924594133,0,7061.24201427,3,1650.96670138,51.3070838286,115.22830460600001,0,0.999999999947,1,-13.3868776066,1,19.926346713,0,29.356927693400003,1,58.679172808500006,1,206.914679505,1,24.7496473171,0.0014257693923800001,86.06570424520001,1021.68703688,0.0549796639774,58.351595154799995,4.58531991601,2,1.0000000000799998,1147.66399223,191694.899704,3.2999838733,111.207077078,-601.591950028,139.59159023799998,2996.5833333333335
3,3,0,919.0120590360001,0,7105.22445663,3,1666.84639522,53.096668335299995,116.575897706,0,1.0,1,0.825661590942,1,18.7899086369,0,28.886242146100003,0,59.2432357338,0,203.322615455,1,24.5934998764,0.00142606675157,98.49504620799999,1000.97890777,0.0531870120086,49.7393515183,6.088941881649999,2,1.0,1147.66399223,184855.555657,3.2999838733,58.0676220785,-601.591950028,129.808430329,2996.5833333333335
4,4,1,905.768319865,0,7130.86420329,4,1664.83403607,67.6212048008,113.77665573600001,0,0.999999999997,1,1.58032452375,1,18.4581879478,0,29.293553418400002,0,58.863783811400005,0,203.020132135,1,24.5328196867,0.0014100896037000002,89.0167054593,1011.25816869,0.052352129791099995,47.6248838838,5.787162546269999,2,1.0,1147.66399223,245807.247454,3.2999838733,74.9726032663,-601.591950028,173.08684025,2996.5833333333335
5,5,1,781.924594133,0,7061.24201427,3,1650.96670138,51.3070838286,115.22830460600001,0,0.999999999947,1,-13.3868776066,1,19.926346713,0,29.356927693400003,1,58.679172808500006,1,206.914679505,1,24.7496473171,0.0014257693923800001,86.06570424520001,1021.68703688,0.0549796639774,58.351595154799995,4.58531991601,2,1.0000000000799998,1147.66399223,191694.899704,3.2999838733,111.207077078,-601.591950028,139.59159023799998,2996.5833333333335
6,6,0,919.0120590360001,0,7105.22445663,3,1666.84639522,53.096668335299995,116.575897706,0,1.0,1,0.825661590942,1,18.7899086369,0,28.886242146100003,0,59.2432357338,0,203.322615455,1,24.5934998764,0.00142606675157,98.49504620799999,1000.97890777,0.0531870120086,49.7393515183,6.088941881649999,2,1.0,1147.66399223,184855.555657,3.2999838733,58.0676220785,-601.591950028,129.808430329,2996.5833333333335
7,7,1,905.768319865,0,7130.86420329,4,1664.83403607,67.6212048008,113.77665573600001,0,0.999999999997,1,1.58032452375,1,18.4581879478,0,29.293553418400002,0,58.863783811400005,0,203.020132135,1,24.5328196867,0.0014100896037000002,89.0167054593,1011.25816869,0.052352129791099995,47.6248838838,5.787162546269999,2,1.0,1147.66399223,245807.247454,3.2999838733,74.9726032663,-601.591950028,173.08684025,2996.5833333333335
8,8,1,781.924594133,0,7061.24201427,3,1650.96670138,51.3070838286,115.22830460600001,0,0.999999999947,1,-13.3868776066,1,19.926346713,0,29.356927693400003,1,58.679172808500006,1,206.914679505,1,24.7496473171,0.0014257693923800001,86.06570424520001,1021.68703688,0.0549796639774,58.351595154799995,4.58531991601,2,1.0000000000799998,1147.66399223,191694.899704,3.2999838733,111.207077078,-601.591950028,139.59159023799998,2996.5833333333335
9,9,0,919.0120590360001,0,7105.22445663,3,1666.84639522,53.096668335299995,116.575897706,0,1.0,1,0.825661590942,1,18.7899086369,0,28.886242146100003,0,59.2432357338,0,203.322615455,1,24.5934998764,0.00142606675157,98.49504620799999,1000.97890777,0.0531870120086,49.7393515183,6.088941881649999,2,1.0,1147.66399223,184855.555657,3.2999838733,58.0676220785,-601.591950028,129.808430329,2996.5833333333335
