,index,i_Sex,i_FamilySize,i_Age,e_TV,e_Refrigeration,e_AC,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_46_55,TV_yes,Refrigeration_yes,AC_no,0,163000.320694,64.26185836319999,113.345459444,2857.3333333333335,4115.762429665212
1,1,sex_female,Size_5,age_66_75,TV_no,Refrigeration_yes,AC_no,2,217381.483465,74.7957992401,151.986165414,2857.3333333333335,1065.1892018345247
2,2,sex_female,Size_4,age_46_55,TV_yes,Refrigeration_no,AC_yes,2,168876.300104,91.3685646142,121.809215217,2857.3333333333335,1435.8969689340531
3,3,sex_male,Size_4,age_56_65,TV_yes,Refrigeration_no,AC_no,3,177013.03460699998,61.929197430900004,120.037950889,2857.3333333333335,5794.914586747262
4,4,sex_female,Size_4,age_36_45,TV_no,Refrigeration_yes,AC_no,0,152977.197989,64.1965366975,107.284777713,2857.3333333333335,3131.4354769174893
5,5,sex_male,Size_6,age_26_35,TV_yes,Refrigeration_yes,AC_yes,3,180253.67724000002,112.655948895,125.089534389,2857.3333333333335,1600.80133590146
6,6,sex_male,Size_4,age_46_55,TV_yes,Refrigeration_yes,AC_no,0,163000.320694,64.26185836319999,113.345459444,2857.3333333333335,4115.762429665212
7,7,sex_female,Size_5,age_66_75,TV_no,Refrigeration_yes,AC_no,2,217381.483465,74.7957992401,151.986165414,2857.3333333333335,1065.1892018345247
8,8,sex_female,Size_4,age_46_55,TV_yes,Refrigeration_no,AC_yes,2,168876.300104,91.3685646142,121.809215217,2857.3333333333335,1435.8969689340531
9,9,sex_male,Size_4,age_56_65,TV_yes,Refrigeration_no,AC_no,3,177013.03460699998,61.929197430900004,120.037950889,2857.3333333333335,5794.914586747262
10,10,sex_female,Size_4,age_36_45,TV_no,Refrigeration_yes,AC_no,0,152977.197989,64.1965366975,107.284777713,2857.3333333333335,3131.4354769174893
11,11,sex_male,Size_6,age_26_35,TV_yes,Refrigeration_yes,AC_yes,3,180253.67724000002,112.655948895,125.089534389,2857.3333333333335,1600.80133590146
