,index,i_Sex,i_FamilySize,i_Age,e_Refrigeration,e_AC,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,0,162438.327731,52.8863751677,112.919283665,2949.4166666666665,3760.626298477659
1,1,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,2,216229.41690399998,66.83318070989999,151.126869769,2949.4166666666665,1254.7528448227874
2,2,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,2,168396.118811,102.35564997899999,121.43968796899999,2949.4166666666665,1777.8102183147096
3,3,sex_male,Size_4,age_56_65,Refrigeration_yes,AC_no,3,176140.57068499998,72.6870786301,119.399256195,2949.4166666666665,5172.873511490614
4,4,sex_female,Size_4,age_36_45,Refrigeration_no,AC_no,3,245146.23881100002,80.8222831337,185.63577230400003,2949.4166666666665,4001.33888701418
5,5,sex_male,Size_6,age_26_35,Refrigeration_no,AC_yes,1,271310.008668,125.53989687299999,202.30198361200002,2949.4166666666665,1729.098239880049
6,6,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,0,162438.327731,52.8863751677,112.919283665,2949.4166666666665,3760.626298477659
7,7,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,2,216229.41690399998,66.83318070989999,151.126869769,2949.4166666666665,1254.7528448227874
8,8,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,2,168396.118811,102.35564997899999,121.43968796899999,2949.4166666666665,1777.8102183147096
9,9,sex_male,Size_4,age_56_65,Refrigeration_yes,AC_no,3,176140.57068499998,72.6870786301,119.399256195,2949.4166666666665,5172.873511490614
10,10,sex_female,Size_4,age_36_45,Refrigeration_no,AC_no,3,245146.23881100002,80.8222831337,185.63577230400003,2949.4166666666665,4001.33888701418
11,11,sex_male,Size_6,age_26_35,Refrigeration_no,AC_yes,1,271310.008668,125.53989687299999,202.30198361200002,2949.4166666666665,1729.098239880049
