,index,i_Sex,i_FamilySize,i_Age,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_56_65,3,317301.21338699997,141.753683865,231.795911425,3244.0,4190.750000000004
1,1,sex_male,Size_5,age_46_55,3,332954.852207,148.542440316,245.534604472,3244.0,3990.2499999999964
2,2,sex_male,Size_4,age_46_55,3,411017.618406,172.368031607,303.827999316,3244.0,302.5000000000175
3,3,sex_female,Size_3,age_46_55,2,401277.542285,164.558870493,306.851381123,3244.0,2565.249999999992
4,4,sex_female,Size_2,age_36_45,1,359615.92520399997,158.981287115,270.85603343900004,3244.0,4258.500000000009
5,5,sex_male,Size_4,age_36_45,4,407610.190506,177.147163589,307.84064684,3244.0,4156.749999999983
6,6,sex_male,Size_3,age_56_65,3,317301.21338699997,141.753683865,231.795911425,3244.0,4190.750000000004
7,7,sex_male,Size_5,age_46_55,3,332954.852207,148.542440316,245.534604472,3244.0,3990.2499999999964
8,8,sex_male,Size_4,age_46_55,3,411017.618406,172.368031607,303.827999316,3244.0,302.5000000000175
9,9,sex_female,Size_3,age_46_55,2,401277.542285,164.558870493,306.851381123,3244.0,2565.249999999992
10,10,sex_female,Size_2,age_36_45,1,359615.92520399997,158.981287115,270.85603343900004,3244.0,4258.500000000009
11,11,sex_male,Size_4,age_36_45,4,407610.190506,177.147163589,307.84064684,3244.0,4156.749999999983
