,index,i_Sex,i_FamilySize,i_Age,e_Cooking,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_56_65,Cooking_yes,3,407854.241321,172.94684719400001,310.118971537,3568.1666666666665,4583.156249999998
1,1,sex_male,Size_5,age_46_55,Cooking_no,3,332480.033789,148.41677155,245.167689192,3568.1666666666665,3790.5937500000027
2,2,sex_male,Size_4,age_46_55,Cooking_no,3,410729.628318,172.28675293700002,303.612949975,3568.1666666666665,338.6874999999921
3,3,sex_female,Size_3,age_46_55,Cooking_no,1,400000.211741,164.227842244,305.865620795,3568.1666666666665,5222.78125000001
4,4,sex_female,Size_2,age_36_45,Cooking_no,1,361580.229306,159.53686193299998,272.336411597,3568.1666666666665,3653.8749999999895
5,5,sex_male,Size_4,age_36_45,Cooking_yes,4,408273.166868,182.533293379,308.357444958,3568.1666666666665,3819.906250000009
6,6,sex_male,Size_3,age_56_65,Cooking_yes,3,407854.241321,172.94684719400001,310.118971537,3568.1666666666665,4583.156249999998
7,7,sex_male,Size_5,age_46_55,Cooking_no,3,332480.033789,148.41677155,245.167689192,3568.1666666666665,3790.5937500000027
8,8,sex_male,Size_4,age_46_55,Cooking_no,3,410729.628318,172.28675293700002,303.612949975,3568.1666666666665,338.6874999999921
9,9,sex_female,Size_3,age_46_55,Cooking_no,1,400000.211741,164.227842244,305.865620795,3568.1666666666665,5222.78125000001
10,10,sex_female,Size_2,age_36_45,Cooking_no,1,361580.229306,159.53686193299998,272.336411597,3568.1666666666665,3653.8749999999895
11,11,sex_male,Size_4,age_36_45,Cooking_yes,4,408273.166868,182.533293379,308.357444958,3568.1666666666665,3819.906250000009
