n_BuildingSqm,n_BuildingKwh,c_n_BuildingSqm,c_n_BuildingKwh,NonRElectricity__0
6,5,637.229859886,296.0,493677.89433
6,6,637.229859886,296.0,493677.89433
8,6,406.726338714,243.0,224475.314604
1,6,312.594751517,631.0,495876.478676
8,8,406.726338714,243.0,224475.314604
8,8,406.726338714,243.0,224475.314604
8,4,406.726338714,243.0,224475.314604
8,4,406.726338714,243.0,224475.314604
8,6,406.726338714,243.0,224475.314604
6,6,637.229859886,296.0,493677.89433
6,6,637.229859886,296.0,493677.89433
7,6,296.280540763,137.0,106551.158835
7,6,296.280540763,137.0,106551.158835
0,6,719.587128022,262.0,586449.634815
0,6,719.587128022,262.0,586449.634815
2,0,1165.99458393,592.0,1710007.36975
6,0,637.229859886,296.0,493677.89433
0,1,719.587128022,262.0,586449.634815
6,5,637.229859886,296.0,493677.89433
6,6,637.229859886,296.0,493677.89433
1,6,312.594751517,631.0,495876.478676
4,5,837.216658361,293.0,786780.733037
4,8,837.216658361,293.0,786780.733037
4,8,837.216658361,293.0,786780.733037
4,3,837.216658361,293.0,786780.733037
6,1,637.229859886,296.0,493677.89433
6,0,637.229859886,296.0,493677.89433
5,6,497.42790442,233.0,301723.520096
6,6,637.229859886,296.0,493677.89433
4,1,837.216658361,293.0,786780.733037
4,5,837.216658361,293.0,786780.733037
6,3,637.229859886,296.0,493677.89433
4,6,837.216658361,293.0,786780.733037
4,6,837.216658361,293.0,786780.733037
4,8,837.216658361,293.0,786780.733037
4,8,837.216658361,293.0,786780.733037
4,1,837.216658361,293.0,786780.733037
4,1,837.216658361,293.0,786780.733037
3,1,703.625461564,316.0,594944.790161
1,7,312.594751517,631.0,495876.478676
7,0,296.280540763,137.0,106551.158835
0,5,719.587128022,262.0,586449.634815
6,6,637.229859886,296.0,493677.89433
6,5,637.229859886,296.0,493677.89433
6,0,637.229859886,296.0,493677.89433
6,0,637.229859886,296.0,493677.89433
0,6,719.587128022,262.0,586449.634815
0,6,719.587128022,262.0,586449.634815
0,6,719.587128022,262.0,586449.634815
6,6,637.229859886,296.0,493677.89433
5,6,497.42790442,233.0,301723.520096
0,6,719.587128022,262.0,586449.634815
8,8,406.726338714,243.0,224475.314604
8,8,406.726338714,243.0,224475.314604
8,8,406.726338714,243.0,224475.314604
3,8,703.625461564,316.0,594944.790161
0,0,719.587128022,262.0,586449.634815
0,0,719.587128022,262.0,586449.634815
6,4,637.229859886,296.0,493677.89433
6,4,637.229859886,296.0,493677.89433
6,4,637.229859886,296.0,493677.89433
5,4,497.42790442,233.0,301723.520096
3,4,703.625461564,316.0,594944.790161
3,4,703.625461564,316.0,594944.790161
2,1,1165.99458393,592.0,1710007.36975
5,0,497.42790442,233.0,301723.520096
3,0,703.625461564,316.0,594944.790161
0,5,719.587128022,262.0,586449.634815
8,8,406.726338714,243.0,224475.314604
0,6,719.587128022,262.0,586449.634815
7,8,296.280540763,137.0,106551.158835
7,4,296.280540763,137.0,106551.158835
8,4,406.726338714,243.0,224475.314604
0,4,719.587128022,262.0,586449.634815
3,4,703.625461564,316.0,594944.790161
5,4,497.42790442,233.0,301723.520096
6,4,637.229859886,296.0,493677.89433
2,4,1165.99458393,592.0,1710007.36975
6,6,637.229859886,296.0,493677.89433
6,4,637.229859886,296.0,493677.89433
6,4,637.229859886,296.0,493677.89433
3,4,703.625461564,316.0,594944.790161
6,8,637.229859886,296.0,493677.89433
6,8,637.229859886,296.0,493677.89433
