,UF,Nome,Código
0,AL,Alto de São Marcos - Barra de São Miguel,2700607001
1,AL,Alto do Cruzeiro - Arapiraca,2700300001
2,AL,Alto do Cruzeiro - Palmeira dos Índios,2706307001
3,AL,Antares - Maceió,2704302001
4,AL,Baixa Grande - Arapiraca,2700300002
5,AL,Baixão - Arapiraca,2700300003
6,AL,Barra Mar - Barra de São Miguel,2700607002
7,AL,Barro Duro - Maceió,2704302002
8,AL,Bebedouro - Maceió,2704302003
9,AL,Benedito Bentes - Maceió,2704302004
10,AL,Boa Vista - Arapiraca,2700300004
11,AL,Bom Parto - Maceió,2704302005
12,AL,Bom Sucesso - Arapiraca,2700300035
13,AL,Brasília - Arapiraca,2700300005
14,AL,Brasiliana - Arapiraca,2700300006
15,AL,Brejo - Barra de São Miguel,2700607003
16,AL,Cacimbas - Arapiraca,2700300007
17,AL,Caititus - Arapiraca,2700300008
18,AL,Canaã - Maceió,2704302006
19,AL,Canafístula - Arapiraca,2700300009
20,AL,Capiatã - Arapiraca,2700300010
21,AL,Cavaco - Arapiraca,2700300011
22,AL,Centro - Arapiraca,2700300012
23,AL,Centro - Penedo,2706703001
24,AL,Centro - Barra de São Miguel,2700607004
25,AL,Centro - Palmeira dos Índios,2706307002
26,AL,Centro - Maceió,2704302007
27,AL,Centro Histórico - Penedo,2706703002
28,AL,Chã da Jaqueira - Maceió,2704302009
29,AL,Chã de Bebedouro - Maceió,2704302008
30,AL,Cidade Universitária - Maceió,2704302010
31,AL,Clima Bom - Maceió,2704302011
32,AL,Cruz das Almas - Maceió,2704302012
33,AL,Dom Constantino - Penedo,2706703003
34,AL,Eldorado - Arapiraca,2700300013
35,AL,Farol - Maceió,2704302013
36,AL,Feitosa - Maceió,2704302014
37,AL,Fernão Velho - Maceió,2704302015
38,AL,Garça Torta - Maceió,2704302016
39,AL,Goiti - Palmeira dos Índios,2706307003
40,AL,Gruta de Lourdes - Maceió,2704302017
41,AL,Guaribas - Arapiraca,2700300014
42,AL,Guaxumã - Maceió,2704302018
43,AL,Ipioca - Maceió,2704302019
44,AL,Itapoã - Arapiraca,2700300015
45,AL,Jacarecica - Maceió,2704302020
46,AL,Jacintinho - Maceió,2704302021
47,AL,Jaraguá - Maceió,2704302022
48,AL,Jardim Brasil - Palmeira dos Índios,2706307004
49,AL,Jardim de Maria - Arapiraca,2700300033
50,AL,Jardim Esperança - Arapiraca,2700300016
51,AL,Jardim Petrópolis - Maceió,2704302023
52,AL,Jardim Tropical - Arapiraca,2700300017
53,AL,Jatiúca - Maceió,2704302024
