,UF,Nome,Código
0,AC,Acrelândia,1200013
1,AC,Assis Brasil,1200054
2,AC,Brasiléia,1200104
3,AC,Bujari,1200138
4,AC,Capixaba,1200179
5,AC,Cruzeiro do Sul,1200203
6,AC,Epitaciolândia,1200252
7,AC,Feijó,1200302
8,AC,Jordão,1200328
9,AC,Mâncio Lima,1200336
10,AC,Manoel Urbano,1200344
11,AC,Marechal Thaumaturgo,1200351
12,AC,Plácido de Castro,1200385
13,AC,Porto Acre,1200807
14,AC,Porto Walter,1200393
15,AC,Rio Branco,1200401
16,AC,Rodrigues Alves,1200427
17,AC,Santa Rosa do Purus,1200435
18,AC,Sena Madureira,1200500
19,AC,Senador Guiomard,1200450
20,AC,Tarauacá,1200609
21,AC,Xapuri,1200708
22,AL,Água Branca,2700102
23,AL,Anadia,2700201
24,AL,Arapiraca,2700300
25,AL,Atalaia,2700409
26,AL,Barra de Santo Antônio,2700508
27,AL,Barra de São Miguel,2700607
28,AL,Batalha,2700706
29,AL,Belém,2700805
30,AL,Belo Monte,2700904
31,AL,Boca da Mata,2701001
32,AL,Branquinha,2701100
33,AL,Cacimbinhas,2701209
34,AL,Cajueiro,2701308
35,AL,Campestre,2701357
36,AL,Campo Alegre,2701407
37,AL,Campo Grande,2701506
38,AL,Canapi,2701605
39,AL,Capela,2701704
40,AL,Carneiros,2701803
41,AL,Chã Preta,2701902
42,AL,Coité do Nóia,2702009
43,AL,Colônia Leopoldina,2702108
44,AL,Coqueiro Seco,2702207
45,AL,Coruripe,2702306
46,AL,Craíbas,2702355
47,AL,Delmiro Gouveia,2702405
48,AL,Dois Riachos,2702504
49,AL,Estrela de Alagoas,2702553
50,AL,Feira Grande,2702603
51,AL,Feliz Deserto,2702702
52,AL,Flexeiras,2702801
53,AL,Girau do Ponciano,2702900
54,AL,Ibateguara,2703007
55,AL,Igaci,2703106
56,AL,Igreja Nova,2703205
57,AL,Inhapi,2703304
58,AL,Jacaré dos Homens,2703403
59,AL,Jacuípe,2703502
60,AL,Japaratinga,2703601
61,AL,Jaramataia,2703700
62,AL,Jequiá da Praia,2703759
63,AL,Joaquim Gomes,2703809
64,AL,Jundiá,2703908
65,AL,Junqueiro,2704005
66,AL,Lagoa da Canoa,2704104
67,AL,Limoeiro de Anadia,2704203
68,AL,Maceió,2704302
69,AL,Major Isidoro,2704401
70,AL,Mar Vermelho,2704906
71,AL,Maragogi,2704500
72,AL,Maravilha,2704609
73,AL,Marechal Deodoro,2704708
74,AL,Maribondo,2704807
75,AL,Mata Grande,2705002
76,AL,Matriz de Camaragibe,2705101
77,AL,Messias,2705200
78,AL,Minador do Negrão,2705309
79,AL,Monteirópolis,2705408
80,AL,Murici,2705507
81,AL,Novo Lino,2705606
82,AL,Olho d'Água das Flores,2705705
83,AL,Olho d'Água do Casado,2705804
84,AL,Olho d'Água Grande,2705903
85,AL,Olivença,2706000
86,AL,Ouro Branco,2706109
87,AL,Palestina,2706208
88,AL,Palmeira dos Índios,2706307
89,AL,Pão de Açúcar,2706406
90,AL,Pariconha,2706422
91,AL,Paripueira,2706448
92,AL,Passo de Camaragibe,2706505
93,AL,Paulo Jacinto,2706604
94,AL,Penedo,2706703
95,AL,Piaçabuçu,2706802
96,AL,Pilar,2706901
97,AL,Pindoba,2707008
98,AL,Piranhas,2707107
99,AL,Poço das Trincheiras,2707206
100,AL,Porto Calvo,2707305
101,AL,Porto de Pedras,2707404
102,AL,Porto Real do Colégio,2707503
103,AL,Quebrangulo,2707602
104,AL,Rio Largo,2707701
105,AL,Roteiro,2707800
106,AL,Santa Luzia do Norte,2707909
107,AL,Santana do Ipanema,2708006
108,AL,Santana do Mundaú,2708105
109,AL,São Brás,2708204
110,AL,São José da Laje,2708303
111,AL,São José da Tapera,2708402
112,AL,São Luís do Quitunde,2708501
113,AL,São Miguel dos Campos,2708600
114,AL,São Miguel dos Milagres,2708709
115,AL,São Sebastião,2708808
116,AL,Satuba,2708907
117,AL,Senador Rui Palmeira,2708956
118,AL,Tanque d'Arca,2709004
