,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,129662.86226641174,76.89358648790748,84.65851761273908,55.23882681564246,28.431279476649944
1,2,sex_female,Size_1,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,117305.57869047564,65.39123003135563,74.71228314352926,55.23882681564246,0.0
2,6,sex_male,Size_4,age_26_35,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,193218.41695938574,51.4954882598178,134.20029498170254,55.23882681564246,24.619065179800653
3,7,sex_male,Size_3,age_56_65,Education_Post_Graduate,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,229687.0125312564,60.99134365183993,183.49290699971792,55.23882681564246,51.87717815888055
4,8,sex_male,Size_3,age_56_65,Education_Post_Graduate,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,231240.40344683462,86.86891932902653,178.86705318204727,55.23882681564246,50.12154104812014
5,9,sex_female,Size_4,age_36_45,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,204389.59350253706,84.93355669045506,148.57864906967595,55.23882681564246,30.908237627376877
6,11,sex_female,Size_6,age_56_65,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,236015.08761082686,62.54166181563933,172.22815914367968,55.23882681564246,0.0
7,12,sex_female,Size_3,age_46_55,Education_Elementary_School,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,123290.99725227377,37.19327468782916,92.33133512584331,55.23882681564246,67.93561590273355
8,13,sex_male,Size_3,age_36_45,Education_Elementary_School,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,115989.74149328671,36.544850296808804,88.27458357623695,55.23882681564246,108.45899932651726
9,14,sex_male,Size_5,age_19_25,Education_Elementary_School,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,120519.19918093154,45.16326384981987,92.19906468416964,55.23882681564246,0.0
10,15,sex_male,Size_5,age_36_45,Education_College,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,252068.4072316068,100.86815570181025,181.67585565765262,55.23882681564246,65.26717986036655
11,17,sex_female,Size_2,age_46_55,Education_Post_Secondary,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,187122.8731768431,56.47426711166768,135.6839233324972,55.23882681564246,102.28271736696915
12,19,sex_male,Size_3,age_36_45,Education_College,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,234690.29261804465,92.18569696637806,169.48326154235167,55.23882681564246,117.49643383382214
13,20,sex_male,Size_4,age_36_45,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,124918.12632933227,67.25846433517415,92.36331980317273,55.23882681564246,68.26434180410106
14,21,sex_male,Size_1,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Rural,160517.05263803096,75.19785980244427,116.9016493888812,55.23882681564246,11.709561888011777
15,23,sex_female,Size_1,age_26_35,Education_College,AC_no,Cooking_yes,Lighting_yes,Refrigeration_no,Urbanity_Rural,162648.58193113137,38.03184433482318,102.79172108966928,55.23882681564246,0.0
