,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
0,76.84034007401601,129407.11977927836,84.45493978546295,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_19_25,sex_male,0.0,51.0,1,25.55857450170471
2,51.44237858410133,192959.6442495391,134.01124223583798,AC_no,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_26_35,sex_male,2.0,51.0,1,15.347643882323588
3,60.93694489530746,229431.6352640889,183.28385081052463,AC_no,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,3.0,51.0,1,60.823816926328675
4,86.8175404736822,231002.61747784397,178.67463446761207,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,4.0,51.0,1,56.782143950040044
5,84.88070637856063,204143.0241880012,148.38506965401382,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_female,5.0,51.0,1,37.70154714289049
7,52.97612600876619,197803.42227555747,142.0677215290838,AC_no,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_46_55,sex_female,7.0,51.0,1,102.5808354262264
8,66.72003543157058,115704.72303300568,88.05567859293663,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_male,8.0,1.0,1,126.08110536983312
10,100.81072283018793,251804.73883890212,181.4747469243288,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_College,Size_5,age_36_45,sex_male,10.0,51.0,1,49.38444544945944
11,85.43691755777549,186867.53445567554,135.48358381808978,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,11.0,81.0,1,79.44752131336305
12,92.13109359782987,234429.65216624015,169.2764740501938,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_College,Size_3,age_36_45,sex_male,12.0,51.0,1,108.79843644866342
13,67.2014598843778,124646.27686227858,92.16404895951992,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_36_45,sex_male,13.0,31.0,1,45.409716473291
14,75.13839208141401,160245.26665153465,116.69345530183796,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Post_Secondary,Size_1,age_26_35,sex_male,14.0,21.0,1,10.072543740839171
15,50.7546837752781,179856.24034164372,132.88423690161758,AC_no,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_3,age_66_75,sex_female,15.0,31.0,1,35.02440860395975
16,62.6770071475789,235556.6563373416,167.530078521119,AC_no,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,16.0,81.0,1,100.00633583545721
17,70.07972505067607,107393.15320132033,83.3478476520992,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_46_55,sex_male,17.0,31.0,1,103.51665723599187
18,86.99951131533899,211044.9361533532,145.61197952740744,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_2,age_26_35,sex_male,18.0,81.0,1,62.35722451036075
19,63.03856079592988,90715.30310701703,67.41805456569921,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_Elementary_School,Size_2,age_19_25,sex_male,19.0,1.0,1,12.304007907342994
20,39.814835368783996,120161.45984960158,88.03316908388794,AC_no,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,20.0,31.0,1,116.28900475662695
22,69.29291080603953,102107.14430432233,74.94596240708769,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_36_45,sex_male,22.0,31.0,1,106.9894642332584
23,76.79876377487133,132194.00977946195,83.82356168309636,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,23.0,51.0,1,75.25542661812044
24,42.193508404809705,114211.14719120564,73.50733542127746,AC_no,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_3,age_36_45,sex_female,24.0,31.0,1,108.00578724469558
25,103.47413804144372,277600.53499469854,193.6375100521181,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,Education_College,Size_5,age_76_85,sex_male,25.0,51.0,1,12.092004450587176
26,64.30673238712629,102965.79024185153,64.84786957949987,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_3,age_36_45,sex_male,26.0,31.0,1,103.91810883327936
28,83.79127573563396,185033.011590422,136.11494279168872,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,28.0,81.0,1,69.25542661812044
29,81.59207251961605,190844.1883611092,120.9084324205617,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,29.0,81.0,1,94.96466285916858
30,76.39199692038815,143289.80530175986,108.97460987602352,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_46_55,sex_male,30.0,31.0,1,54.83334078113429
32,56.9099168519518,212246.3186055369,158.79996036799275,AC_no,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_9,age_36_45,sex_male,32.0,61.0,1,95.58651030784296
33,80.28982829449427,178176.46869601487,126.32840904464621,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_High_School,Size_5,age_46_55,sex_male,33.0,31.0,1,48.03131083680884
34,89.82553636563223,211018.5049579501,155.73939129256232,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,34.0,81.0,1,45.19100642064444
