,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,128979.33977335191,76.75127489167103,84.11441551382224,58.670438472418674,8.80229427427376
1,2,sex_female,Size_1,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,116623.00829877215,65.24768004871825,74.17812035399962,58.670438472418674,0.0
2,6,sex_male,Size_4,age_26_35,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,192526.79559081228,80.92245073525685,133.69501403668914,58.670438472418674,0.0
3,7,sex_male,Size_3,age_56_65,Education_Post_Graduate,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,229004.46614957054,94.69509170101594,182.93416288727204,58.670438472418674,34.363255809580224
4,8,sex_male,Size_3,age_56_65,Education_Post_Graduate,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,230604.87330734765,86.73159915412265,178.35277602856993,58.670438472418674,11.295107110075506
5,9,sex_female,Size_4,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,203730.58813876405,84.79230375493202,148.06126971659194,58.670438472418674,40.57550254552769
6,11,sex_female,Size_6,age_56_65,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,235343.9118054395,92.01895372499652,171.69247403021683,58.670438472418674,0.0
7,12,sex_female,Size_3,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,197372.51051033897,86.36150273548199,141.7531438025175,58.670438472418674,136.21978784929684
8,13,sex_female,Size_3,age_36_45,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,121618.42167450934,67.9653215431769,93.30918341867205,58.670438472418674,126.15935811467541
9,14,sex_male,Size_5,age_19_25,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,119771.53565243071,75.7051355440985,91.60435672346829,58.670438472418674,0.0
10,15,sex_male,Size_5,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,251363.70879941952,100.71464859863659,181.13835420575228,58.670438472418674,49.19288442968326
11,17,sex_male,Size_2,age_46_55,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,223834.59918191293,92.9889500639702,158.3888929278485,58.670438472418674,132.08172849400594
12,19,sex_male,Size_3,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,191673.0732306818,83.22805933291619,140.8163490057285,58.670438472418674,122.31367853679318
13,20,sex_male,Size_4,age_36_45,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,124190.6442837832,67.10623239193633,91.82989199473697,58.670438472418674,73.91046149612238
14,21,sex_male,Size_1,age_26_35,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,159797.87156961672,75.04213956875762,116.35015323327701,58.670438472418674,0.0
15,23,sex_female,Size_1,age_26_35,Education_College,Cooking_yes,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Urban,206643.52787418396,81.5986105933925,144.55490100155635,58.670438472418674,40.999999230765276
16,28,sex_female,Size_2,age_56_65,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,126981.95718076675,68.83257907036257,100.10404136225347,58.670438472418674,27.99090124020385
17,29,sex_male,Size_2,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,220837.050139768,91.98438669894725,156.55935264921908,58.670438472418674,138.03320254440314
18,30,sex_male,Size_2,age_56_65,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,189465.31807427248,75.66426563227765,138.2203235084693,58.670438472418674,1.077072962816894
19,31,sex_female,Size_2,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,186415.9885798642,84.30914401243349,136.16281745872686,58.670438472418674,126.5927017102737
20,33,sex_female,Size_2,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,149749.53382244933,67.83954154585193,100.64200990956918,58.670438472418674,103.524553010769
21,34,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,154936.9285115692,79.12225686542178,101.5922069012581,58.670438472418674,43.78606788213157
22,36,sex_female,Size_4,age_26_35,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,198755.98815124447,91.37736708326291,144.12419811233386,58.670438472418674,0.32303405333813623
23,37,sex_female,Size_3,age_46_55,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,80575.07889910621,56.51905233721522,54.14351569178223,58.670438472418674,120.20788406427825
24,38,sex_male,Size_5,age_26_35,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,246966.64439737351,97.14704460028737,172.17479122480407,58.670438472418674,0.0
25,39,sex_male,Size_6,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,263999.61604926316,102.68006297492349,187.78516326952413,58.670438472418674,43.55421443254745
26,40,sex_female,Size_6,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,226699.56522500463,89.5585761403293,168.3993787518378,58.670438472418674,14.997038949310443
27,41,sex_male,Size_6,age_36_45,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,104331.41116725667,66.89926698730888,66.64855301591466,58.670438472418674,48.33199789990514
28,43,sex_male,Size_5,age_46_55,Education_High_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,175450.96146752452,81.12157661246938,126.45449736879961,58.670438472418674,60.98181242197083
29,44,sex_male,Size_2,age_36_45,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,100328.98370535942,64.57464011503015,77.67130663412864,58.670438472418674,119.74283731225617
30,45,sex_male,Size_3,age_46_55,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,194734.3855444334,82.6766681588692,124.41544984383668,58.670438472418674,118.6406659335244
31,46,sex_male,Size_5,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,248755.68358414355,98.43682514677974,178.85095488917295,58.670438472418674,72.26103312918798
32,47,sex_female,Size_2,age_46_55,Education_High_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,154770.38619104488,79.0355287985379,116.89701791901904,58.670438472418674,123.54341650058211
33,48,sex_male,Size_4,age_46_55,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,86903.8960969985,64.31779750935004,57.23953127164948,58.670438472418674,67.95898744572521
34,50,sex_male,Size_3,age_46_55,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,196652.1813626529,85.13100949956274,131.92396521157048,58.670438472418674,141.70881463302916
35,51,sex_male,Size_4,age_26_35,Education_High_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,149241.3208426308,71.01990475570837,106.07686222525084,58.670438472418674,0.4843141802504528
36,52,sex_male,Size_4,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,202737.87996308858,86.36308254025217,149.35412751863018,58.670438472418674,37.83459383173439
37,53,sex_male,Size_1,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,121377.65358437465,71.00588756561345,80.94094738373329,58.670438472418674,59.408988743621734
38,55,sex_male,Size_2,age_26_35,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,216651.21530761124,84.08381975074299,153.60654824292655,58.670438472418674,51.64443665320417
39,57,sex_female,Size_4,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,162817.20267729653,81.61126032290993,106.27764372614685,58.670438472418674,57.69217719463523
40,59,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,200306.5959954713,88.15020391235814,150.32006123437893,58.670438472418674,66.8542165816363
41,60,sex_female,Size_3,age_26_35,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,112251.64759763038,64.0604177749282,89.28166245993542,58.670438472418674,62.838740922981145
42,62,sex_female,Size_4,age_66_75,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,219039.22932549758,89.71185763302115,153.04192259367915,58.670438472418674,0.0
43,63,sex_female,Size_3,age_56_65,Education_Post_Graduate,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,192344.18659764514,87.0746418082355,142.4203328790825,58.670438472418674,31.152690472976364
44,64,sex_male,Size_4,age_76_85,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,264564.8179529245,99.20023457755889,184.96976191269164,58.670438472418674,11.027441199887868
45,65,sex_male,Size_4,age_66_75,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,103357.07802853819,63.066510547254396,68.94784233223267,58.670438472418674,0.0
46,66,sex_male,Size_5,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,172628.35035253686,77.38258169420843,115.23360581184286,58.670438472418674,40.96294893215767
47,73,sex_male,Size_1,age_56_65,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,222398.70979830812,93.0828520157961,156.50551237520975,58.670438472418674,0.0
48,76,sex_male,Size_2,age_19_25,Education_High_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,124696.81348482001,72.45172376597442,90.76166197761445,58.670438472418674,0.0
49,77,sex_male,Size_2,age_26_35,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,213523.79772518686,85.64955770633868,152.13937849533872,58.670438472418674,51.64443665320417
50,78,sex_male,Size_1,age_26_35,Education_Post_Graduate,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,195466.294133717,85.14914769231937,151.6279507114966,58.670438472418674,0.0
51,79,sex_male,Size_3,age_56_65,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,240323.42308744072,96.32869207085355,175.10058235793377,58.670438472418674,36.05076924847317
52,80,sex_male,Size_4,age_26_35,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,119844.46220949787,75.1511505863331,92.59895294166253,58.670438472418674,10.589844304428121
53,82,sex_male,Size_2,age_56_65,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,191616.03787535356,84.3281187172934,135.20322769678594,58.670438472418674,24.145221662321614
54,83,sex_female,Size_2,age_46_55,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,233086.30136432606,95.43499591639946,167.43978522596186,58.670438472418674,128.87116315740212
55,84,sex_male,Size_5,age_46_55,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,141031.70956191572,78.38287363589541,108.744245748089,58.670438472418674,71.0873425461485
56,85,sex_female,Size_4,age_46_55,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,252011.61148635883,98.85698851771575,183.40699776605783,58.670438472418674,59.970638641763635
57,87,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,200020.77988787636,85.57045888231224,144.16249012549355,58.670438472418674,66.8542165816363
58,89,sex_male,Size_1,age_66_75,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,183710.9442112344,80.81683880082281,130.21823372815052,58.670438472418674,0.0
59,90,sex_male,Size_3,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,192156.60627670508,90.53040456605287,137.51088039986575,58.670438472418674,139.4303531859007
60,91,sex_male,Size_1,age_46_55,Education_Post_Graduate,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,203377.8347246825,85.56076395518375,158.53558993626982,58.670438472418674,30.98031400195533
61,92,sex_male,Size_4,age_46_55,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,133694.3285712547,69.81144651935527,103.23868462629069,58.670438472418674,67.95898744572521
62,94,sex_female,Size_1,age_36_45,Education_High_School,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,131111.98182420706,73.06928086369307,97.76915588252822,58.670438472418674,53.14913819732631
63,97,sex_male,Size_2,age_19_25,Education_Post_Graduate,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,194760.52316508384,83.95221341914355,150.4803728847777,58.670438472418674,0.0
64,98,sex_male,Size_2,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,215725.10089807256,90.99999859749192,160.16834465463657,58.670438472418674,138.03320254440314
65,99,sex_female,Size_1,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,209809.3828147916,89.43391223748363,158.69459059098628,58.670438472418674,58.4768848541463
66,100,sex_female,Size_5,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,253701.52077708155,101.9397264016844,182.8789915883131,58.670438472418674,69.0504677925841
67,101,sex_female,Size_5,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,254970.43235338657,100.26489032178638,184.55986772928193,58.670438472418674,69.0504677925841
