,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_Cooking,e_Lighting,e_TV,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,128812.01387217693,76.71643709726375,83.98121964249852,59.02521008403362,0.0
1,2,sex_female,Size_2,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,116455.91547145037,65.21253909805695,74.04735761972718,59.02521008403362,42.71692544897304
2,6,sex_male,Size_5,age_26_35,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,192357.48709092633,84.24202283693535,133.57132156226177,59.02521008403362,0.0
3,7,sex_male,Size_4,age_56_65,Education_Post_Graduate,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,228837.37920283029,94.65949995738755,182.797382661102,59.02521008403362,0.0
4,8,sex_male,Size_4,age_56_65,Education_Post_Graduate,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,230449.29590607682,86.69798325646475,178.22688128511973,59.02521008403362,0.0
5,9,sex_female,Size_5,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,203569.26401447767,84.75772512014022,147.9346155553493,59.02521008403362,59.44895781818128
6,11,sex_female,Size_7,age_56_65,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,235179.60704674973,91.98372660260048,171.56133742231165,59.02521008403362,0.0
7,12,sex_female,Size_4,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,197203.95903912783,86.32580092569025,141.63009649626085,59.02521008403362,66.18400327853898
8,13,sex_female,Size_4,age_36_45,Education_Elementary_School,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,121431.94126715732,67.92605315223258,93.16595939500716,59.02521008403362,42.85189107532306
9,14,sex_male,Size_6,age_19_25,Education_Elementary_School,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,119588.50925127238,75.6660014080561,91.45877354168617,59.02521008403362,0.0
10,15,sex_male,Size_6,age_36_45,Education_College,Cooking_yes,Lighting_yes,TV_yes,Urbanity_Rural,251191.19705741774,104.96577910055562,181.00677375770275,59.02521008403362,0.0
11,17,sex_male,Size_3,age_46_55,Education_College,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,223667.5446761766,92.95480760742105,158.2578244946674,59.02521008403362,177.07833064820628
12,19,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,191502.54623510555,83.19231598998229,140.68104651156133,59.02521008403362,37.74597593673445
13,20,sex_male,Size_5,age_36_45,Education_Elementary_School,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,124012.79173186891,67.06893409134771,91.69952417361652,59.02521008403362,26.08351628547838
14,21,sex_male,Size_2,age_26_35,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,159619.95262511435,75.00318850706232,116.2138713972403,59.02521008403362,133.7783061722104
15,22,sex_female,Size_4,age_66_75,Education_High_School,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,179273.7658882097,80.50712916282411,132.43610340317915,59.02521008403362,0.0
16,23,sex_male,Size_4,age_46_55,Education_College,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,235030.04068065612,91.14651334454419,167.11566078227634,59.02521008403362,36.2857453892575
17,24,sex_male,Size_3,age_46_55,Education_Elementary_School,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,106773.43557171983,69.9472908042511,82.85557842392255,59.02521008403362,176.2897012318152
18,25,sex_male,Size_3,age_26_35,Education_College,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,210296.95692046004,86.85769765445927,145.04813140739603,59.02521008403362,100.0846287042663
19,26,sex_male,Size_3,age_19_25,Education_Elementary_School,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,90018.12236139321,62.88504366482265,66.89354089885454,59.02521008403362,0.0
20,28,sex_male,Size_4,age_46_55,Education_Elementary_School,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,119702.44358182065,69.44189059473335,87.67957406476678,59.02521008403362,35.49711597286642
21,29,sex_male,Size_2,age_56_65,Education_High_School,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,145578.02585098826,76.55408827055976,102.49320142692827,59.02521008403362,0.0
22,30,sex_male,Size_3,age_36_45,Education_Elementary_School,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,100330.39389142334,68.92665903014328,73.91859529441834,59.02521008403362,163.06952088511113
23,31,sex_male,Size_4,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,130483.47532268426,76.44656334223728,82.82998837559603,59.02521008403362,0.0
24,32,sex_female,Size_4,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,149817.24244839975,78.86967271460504,97.24237769008826,59.02521008403362,52.96382293183491
25,33,sex_male,Size_3,age_19_25,Education_College,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,209832.3867308065,84.2327170550209,150.59396393756626,59.02521008403362,0.0
26,34,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,186831.37511747028,79.20218090393533,136.57353900028568,59.02521008403362,35.067421709704114
27,35,sex_female,Size_5,age_19_25,Education_High_School,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,152005.5522650232,72.01307933181351,112.29027047812544,59.02521008403362,0.0
28,36,sex_male,Size_5,age_56_65,Education_High_School,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,134711.86230745856,75.84201951071948,88.57149696488841,59.02521008403362,0.0
29,39,sex_male,Size_5,age_46_55,Education_Post_Graduate,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,236581.57708152058,90.91170906167272,181.22513930724702,59.02521008403362,0.0
30,40,sex_female,Size_4,age_26_35,Education_Post_Graduate,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,219783.6776036455,94.20581392247897,169.70600405862533,59.02521008403362,0.0
31,41,sex_male,Size_4,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,191678.4496788077,77.05645611936792,142.7994833286204,59.02521008403362,48.28760205640861
