,Electricity,Income,Water,e_Cooking,e_Lighting,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
1,65.21253909805695,116455.91547145035,74.0473576197272,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_19_25,sex_female,1.0,51.0,1,36.71692544897304
5,84.75772512014022,203569.26401447767,147.93461555534932,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_5,age_36_45,sex_female,5.0,51.0,1,43.448957818181285
7,86.32580092569025,197203.95903912786,141.63009649626085,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,7.0,81.0,1,41.18400327853898
8,67.92605315223258,121431.94126715732,93.16595939500715,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_4,age_36_45,sex_female,8.0,1.0,1,42.85189107532306
11,92.95480760742106,223667.5446761766,158.2578244946674,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,11.0,81.0,1,124.0783306482063
12,83.1923159899823,191502.54623510555,140.6810465115613,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_male,12.0,51.0,1,26.745975936734453
13,67.06893409134771,124012.79173186893,91.69952417361652,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_36_45,sex_male,13.0,31.0,1,21.083516285478378
14,75.0031885070623,159619.95262511435,116.2138713972403,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_26_35,sex_male,14.0,21.0,1,111.77830617221042
16,91.1465133445442,235030.0406806561,167.11566078227634,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,16.0,81.0,1,24.2857453892575
17,69.9472908042511,106773.43557171985,82.85557842392255,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,17.0,31.0,1,153.28970123181517
18,86.85769765445927,210296.95692046004,145.04813140739603,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,18.0,81.0,1,67.0846287042663
