,Electricity,Income,Water,e_Cooking,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
0,85.7743923800278,172317.3664986876,125.67035605518437,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_19_25,sex_male,0.0,51.0,1,3.9459122484632063
3,94.63362873652358,228715.92565959622,182.69795872006225,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_56_65,sex_male,3.0,81.0,1,29.057673881231224
4,86.67354825623873,230336.20852206546,178.13536987883492,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,4.0,51.0,1,38.04968366627801
5,84.73259031688781,203451.99940945406,147.8425521397223,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_female,5.0,51.0,1,29.22072355297837
7,86.29985000977013,197081.44176263927,141.5406554226614,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,7.0,81.0,1,83.90145070721442
8,67.89750938685482,121296.39073903105,93.06185128262408,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_36_45,sex_female,8.0,1.0,1,171.1066531435591
10,98.92102096742045,206895.33059230805,138.39262341326773,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,10.0,81.0,1,30.07571541246456
11,92.930072162706,223546.3834133564,158.16269650352572,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,11.0,81.0,1,57.62542334061176
12,83.16674466621767,191378.4765859236,140.5824946331746,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_36_45,sex_male,12.0,51.0,1,114.5400362677943
13,91.53516046694729,240973.44761344718,168.52174033571737,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,13.0,81.0,1,20.438124800895828
15,81.53423967083926,206356.49150882504,144.34394665117628,Cooking_yes,Refrigeration_no,Urbanity_Urban,Education_College,Size_1,age_26_35,sex_female,15.0,81.0,1,21.99999904857558
