,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_AC,e_Cooking,e_Lighting,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,172192.71535337527,85.7484396079657,125.57113042547131,65.28655834564255,0.0
1,2,sex_female,Size_1,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,116209.98014549556,65.16081694280089,73.85489468644923,65.28655834564255,0.0
2,6,sex_male,Size_4,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,192108.29062814167,84.19087855949722,133.38926497731464,65.28655834564255,0.0
3,7,sex_male,Size_3,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,198397.61856475164,88.17542582183876,150.87990846540373,65.28655834564255,23.18853201799453
4,8,sex_male,Size_3,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,200026.47558086872,84.04459281230582,147.2634439719822,65.28655834564255,23.18853201799453
5,9,sex_female,Size_4,age_36_45,Education_College,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,245652.2209575128,93.77789634264275,175.00453695534483,65.28655834564255,39.86768433971041
6,11,sex_female,Size_6,age_56_65,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,234937.7780794123,91.93187836435176,171.36832671981884,65.28655834564255,0.0
7,12,sex_female,Size_3,age_46_55,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,196955.8775851904,86.27325356860445,141.44899004897238,65.28655834564255,186.17480188291606
8,13,sex_female,Size_3,age_36_45,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,121157.47025234897,67.86825599776061,92.95515508761444,65.28655834564255,165.7150730012846
9,14,sex_male,Size_5,age_19_25,Education_Elementary_School,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,119319.11964680627,75.60840182938105,91.24449512729606,65.28655834564255,0.0
10,15,sex_male,Size_5,age_36_45,Education_College,AC_yes,Cooking_yes,Lighting_yes,Urbanity_Urban,206766.81622990555,98.89302787871104,138.29460119259835,65.28655834564255,100.4562194065808
11,17,sex_male,Size_2,age_46_55,Education_College,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,223421.92402489856,92.90463420847132,158.0650501184644,65.28655834564255,156.48259570532366
12,19,sex_male,Size_3,age_36_45,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,191251.44544990893,87.01439970682465,140.4817076404696,65.28655834564255,179.6467784737902
13,20,sex_male,Size_4,age_36_45,Education_College,AC_yes,Cooking_no,Lighting_yes,Urbanity_Urban,240840.97410343704,91.50736561060491,168.42463739531402,65.28655834564255,44.62778716837989
14,21,sex_male,Size_1,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Lighting_yes,Urbanity_Rural,159361.9567766839,74.94758532903815,116.01593718184624,65.28655834564255,0.0
