,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
5,97.75464584117132,245678.04548763434,175.0248115695614,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_female,5.0,81.0,1,6.074273637390803
7,81.66594886241961,153553.67128416788,100.31837855868437,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,7.0,51.0,1,12.182292279108022
8,83.6193574094452,195957.36235765726,144.58043484158952,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_36_45,sex_female,8.0,51.0,1,11.30294904813783
11,84.26448283195975,181128.4022891,130.7260123586951,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,11.0,81.0,1,127.0782765685077
12,87.0203416316967,191278.68348666327,140.50326264220578,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,12.0,81.0,1,0.9152520335398577
13,91.51338055699895,240869.18394347886,168.44527040137322,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,13.0,81.0,1,7.131309580569198
14,74.95474341346635,159392.50806945248,116.03917017596416,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_26_35,sex_male,14.0,21.0,1,74.9830049610599
15,77.49837704939637,206277.59212186784,144.28217221483342,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,Urbanity_Urban,Education_College,Size_2,age_26_35,sex_female,15.0,81.0,1,19.518554162066565
16,81.9440849760173,211120.2283250053,152.2978032061328,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,16.0,81.0,1,68.88297200248363
21,83.01190453706674,182356.9830803802,135.72818046271092,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,21.0,81.0,1,103.57308577497622
23,91.37359693928356,215706.0126355881,160.331820456546,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_7,age_36_45,sex_male,23.0,51.0,1,35.74096396217574
24,101.90039763241829,264730.15666980174,189.51173588247525,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_7,age_46_55,sex_male,24.0,81.0,1,29.558470731311033
27,91.32633054902688,228299.8627116575,165.5291454406336,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_8,age_36_45,sex_male,27.0,81.0,1,29.13152150946226
