,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_Cooking,e_Refrigeration,e_TV,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_19_25,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,172366.2988001525,90.09259418040085,125.7093074696619,64.42681258549932,0.0
1,2,sex_female,Size_1,age_19_25,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,161214.605030743,74.6256475293533,116.05732654340837,64.42681258549932,0.0
2,6,sex_male,Size_4,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,192283.93081657472,84.22692638471528,133.51758322155234,64.42681258549932,0.0
3,7,sex_male,Size_3,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,198570.95411840043,88.21234860194956,151.02180390840863,64.42681258549932,0.0
4,8,sex_male,Size_3,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,200187.87116481274,84.07946585564382,147.39404684603468,64.42681258549932,0.0
5,9,sex_female,Size_4,age_36_45,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,245819.57817838443,97.7849823285004,175.13592764905394,64.42681258549932,34.909726402242896
6,11,sex_female,Size_6,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,235108.2285010528,91.96842318805925,171.5043684980894,64.42681258549932,0.0
7,12,sex_female,Size_3,age_46_55,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,153701.5445856982,77.11133591218871,100.42633024242909,64.42681258549932,292.6321478928222
8,13,sex_female,Size_3,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,196120.96514405523,83.6538083050492,144.7060879804946,64.42681258549932,270.5341160327954
9,14,sex_male,Size_5,age_19_25,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,194279.03041586484,91.63598947626254,143.08765394862948,64.42681258549932,0.0
10,15,sex_male,Size_5,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,208795.85329599373,95.0463133207017,153.000400156511,64.42681258549932,12.249150605225266
11,17,sex_male,Size_2,age_46_55,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,181274.92798168937,84.29442425229037,130.8409875292366,64.42681258549932,90.56374124906307
12,19,sex_male,Size_3,age_36_45,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,233748.7064274119,95.86405072317241,168.73580873761847,64.42681258549932,268.35391060934097
13,20,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,198704.8806421211,82.69341010669551,141.3834809151161,64.42681258549932,0.5066082081077339
14,21,sex_male,Size_1,age_26_35,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,159548.08414786487,78.69278221292087,116.1583798699823,64.42681258549932,0.0
15,23,sex_female,Size_1,age_26_35,Education_College,Cooking_yes,Refrigeration_no,TV_yes,Urbanity_Urban,206474.98030795134,81.53263265348528,144.41660310126701,64.42681258549932,26.96043572312829
16,28,sex_male,Size_2,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,227491.30405711144,100.24104036889747,162.89639053889323,64.42681258549932,120.82344201528502
17,29,sex_male,Size_2,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,172743.70428473593,82.87052985392333,123.4837768129516,64.42681258549932,88.29803671094358
18,30,sex_male,Size_2,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,185427.22216497618,88.60230878564535,139.9890609673425,64.42681258549932,106.60667994361988
19,31,sex_female,Size_3,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,193344.90829434863,83.89092034316367,135.3842256552217,64.42681258549932,274.3235046601459
20,35,sex_male,Size_1,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,121345.21504456091,71.38155885899104,74.77639131293095,64.42681258549932,0.0
21,36,sex_male,Size_2,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,181485.1910872217,86.2093022038344,129.43401369045063,64.42681258549932,72.25509801638677
22,37,sex_male,Size_2,age_26_35,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,167610.790539916,85.728189289319,109.78355955808473,64.42681258549932,0.0
