,Electricity,Income,Water,e_Cooking,e_Refrigeration,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
5,97.7849823285004,245819.57817838446,175.13592764905397,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_female,5.0,81.0,1,15.909726402242896
7,77.11133591218871,153701.5445856982,100.42633024242909,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,7.0,51.0,1,185.63214789282222
8,83.6538083050492,196120.96514405523,144.7060879804946,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_36_45,sex_female,8.0,51.0,1,175.5341160327954
10,95.0463133207017,208795.8532959937,153.000400156511,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,10.0,81.0,1,3.2491506052252657
11,84.29442425229037,181274.92798168934,130.8409875292366,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,11.0,81.0,1,40.56374124906307
12,95.8640507231724,233748.7064274119,168.73580873761847,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,12.0,81.0,1,119.35391060934097
13,82.69341010669552,198704.8806421211,141.3834809151161,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,13.0,81.0,1,0.5066082081077339
15,81.53263265348528,206474.98030795134,144.416603101267,Cooking_yes,Refrigeration_no,TV_yes,Urbanity_Urban,Education_College,Size_1,age_26_35,sex_female,15.0,81.0,1,8.960435723128292
16,100.24104036889747,227491.30405711144,162.89639053889323,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,16.0,81.0,1,51.82344201528501
17,82.87052985392333,172743.70428473593,123.4837768129516,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,17.0,51.0,1,68.29803671094358
