,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_Cooking,e_Lighting,e_Refrigeration,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,172473.30439987482,85.80685915596554,125.79448677538463,68.64992826398853,0.0
1,2,sex_female,Size_2,age_19_25,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,161321.46157877953,78.54152601447964,116.14094984801181,68.64992826398853,0.0
2,6,sex_male,Size_5,age_26_35,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,192392.20429720925,88.320562228866,133.59668506707553,68.64992826398853,0.0
3,7,sex_male,Size_4,age_56_65,Education_Post_Graduate,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,228871.64086932267,99.12744043286419,182.8254298482315,68.64992826398853,0.0
4,8,sex_male,Size_4,age_56_65,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,242607.76515914212,97.64991162718243,175.01850813390217,68.64992826398853,0.0
5,9,sex_female,Size_5,age_36_45,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,203602.344007484,92.7186165068631,147.96058637077405,68.64992826398853,0.0
6,11,sex_female,Size_7,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Rural,235213.30107446105,95.70331113583964,171.58822998571725,68.64992826398853,0.0
7,12,sex_female,Size_4,age_46_55,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,153809.3336616576,81.72010202825332,100.50501930186358,68.64992826398853,31.432082921885296
8,13,sex_female,Size_4,age_36_45,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,196240.2201682652,91.43928282903502,144.79768041917472,68.64992826398853,0.0
9,14,sex_male,Size_6,age_19_25,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,194396.07744361577,95.6999164014972,143.18075572445642,68.64992826398853,0.0
10,15,sex_male,Size_6,age_36_45,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,208906.17376816564,99.35905231837364,153.0845460811322,68.64992826398853,0.0
11,17,sex_male,Size_3,age_46_55,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,181381.66645680348,88.7377290013557,130.92475609109889,68.64992826398853,357.81159279303665
12,19,sex_male,Size_4,age_36_45,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,233857.7995121027,100.34579141134235,168.82240576499512,68.64992826398853,0.0
13,20,sex_male,Size_5,age_36_45,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,198818.79472343132,86.52871657054388,141.46701350622692,68.64992826398853,11.093386019994222
14,21,sex_male,Size_2,age_26_35,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,159660.4606632923,78.33490468073384,116.24457197789299,68.64992826398853,14.542362596545265
15,23,sex_female,Size_2,age_26_35,Education_College,Cooking_no,Lighting_yes,Refrigeration_no,Urbanity_Urban,206584.1954852544,77.5461964255831,144.49626867276655,68.64992826398853,0.0
16,28,sex_male,Size_3,age_46_55,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,227525.120700983,95.4603900239264,162.8724523247369,68.64992826398853,343.94809392690956
17,29,sex_male,Size_3,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,172828.26973637316,79.0261106867204,123.48828219527482,68.64992826398853,304.49882376506133
18,30,sex_male,Size_3,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,184827.26872688156,83.98069226543188,139.6140289363711,68.64992826398853,358.4070655085816
19,31,sex_female,Size_2,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,184058.3734993346,87.26149627888621,140.71360466298427,68.64992826398853,0.0
20,32,sex_female,Size_3,age_46_55,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,189919.08904308296,82.61796224469558,138.37054887444944,68.64992826398853,332.87949755062516
21,33,sex_male,Size_4,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,196137.7061660934,92.92639413755805,142.87613895736533,68.64992826398853,0.0
22,34,sex_female,Size_5,age_46_55,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,248184.73053561908,103.08308226936782,174.70885301627078,68.64992826398853,25.610560939430837
23,35,sex_female,Size_3,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,198430.17695634285,87.33022500793456,143.6840126170687,68.64992826398853,0.0
24,36,sex_male,Size_4,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,196832.74624763386,85.89251892125797,140.76105997054177,68.64992826398853,0.0
25,40,sex_female,Size_4,age_66_75,Education_High_School,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,178156.22550855507,83.31891417895193,130.86108896819238,68.64992826398853,0.0
26,41,sex_female,Size_4,age_66_75,Education_High_School,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,175293.62585062237,80.24901702937062,128.24180804134838,68.64992826398853,0.0
27,42,sex_female,Size_6,age_26_35,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,250486.16261196177,95.36860712076748,186.53791869579533,68.64992826398853,0.0
28,45,sex_male,Size_7,age_46_55,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,272518.6857623524,97.002203387657,197.3297490814169,68.64992826398853,77.94420222512376
29,46,sex_female,Size_2,age_26_35,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,209785.69195291706,93.36048705996866,152.2338176333536,68.64992826398853,0.0
30,49,sex_male,Size_2,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,208897.38517708317,91.96535546237475,152.8816494245146,68.64992826398853,153.25607674303018
31,50,sex_female,Size_2,age_46_55,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,226618.28547341184,95.06531391187913,161.2327481246804,68.64992826398853,182.2322232441389
32,52,sex_male,Size_2,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,177835.68305256884,87.47485483960399,129.60692276188314,68.64992826398853,0.0
33,54,sex_male,Size_2,age_36_45,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,207813.23775432742,93.27907117559141,151.7567733433481,68.64992826398853,152.66060402748522
34,55,sex_female,Size_2,age_36_45,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,217936.40968111163,96.41375515086315,148.6802751654384,68.64992826398853,127.7285087850737
35,57,sex_male,Size_2,age_46_55,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,217851.49383652085,94.94015641280697,152.04030309898047,68.64992826398853,206.5688457710054
36,58,sex_male,Size_6,age_56_65,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,263069.4507529949,105.22324643864057,186.98207448672298,68.64992826398853,0.0
37,61,sex_male,Size_6,age_36_45,Education_High_School,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Rural,168651.6244762425,76.74676861507382,126.16185188058857,68.64992826398853,71.62069078931779
38,62,sex_male,Size_3,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,174434.49183443756,78.55878400908455,126.26557218674822,68.64992826398853,304.49882376506133
39,63,sex_male,Size_4,age_56_65,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,243686.18301211312,100.36591215594652,170.88631486692904,68.64992826398853,0.0
40,64,sex_male,Size_4,age_26_35,Education_High_School,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,143603.5183542539,72.35335596635896,107.88727360897082,68.64992826398853,0.0
41,65,sex_male,Size_4,age_56_65,Education_Elementary_School,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,125560.77867004716,77.28192500709702,95.65004777439421,68.64992826398853,0.0
42,66,sex_male,Size_5,age_56_65,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,255419.0222020013,101.43566507070004,187.66877707768106,68.64992826398853,0.0
43,67,sex_female,Size_5,age_46_55,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,212005.67808926423,98.89303071433508,149.7716624527608,68.64992826398853,40.06953252110295
44,68,sex_female,Size_5,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,203714.30075587463,86.87602134793552,154.31981180792187,68.64992826398853,40.66500523664782
45,69,sex_female,Size_3,age_36_45,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,187009.1481598106,88.82554383406148,134.4728211698354,68.64992826398853,278.971255807105
46,70,sex_female,Size_3,age_36_45,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,181163.8818452467,90.89307079870038,137.76397247509428,68.64992826398853,278.971255807105
47,71,sex_female,Size_4,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,212746.34705689392,92.29422582797218,151.3598449382972,68.64992826398853,0.0
48,74,sex_male,Size_4,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,233465.63277731836,92.18237969810578,167.2892532352924,68.64992826398853,0.0
49,75,sex_male,Size_4,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,150738.09627897834,73.7209328729849,100.41416845602443,68.64992826398853,56.959650879841654
50,76,sex_male,Size_3,age_66_75,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,240602.55449464772,97.47144052486722,175.2472142067694,68.64992826398853,0.0
51,77,sex_female,Size_3,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,196157.01328747117,87.30060944235925,145.03706504199295,68.64992826398853,0.0
52,78,sex_male,Size_2,age_76_85,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,196667.37099715634,84.40494709171303,147.31856757458888,68.64992826398853,0.0
53,79,sex_female,Size_3,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,126450.21375490664,72.95527453809125,78.38866553890804,68.64992826398853,0.0
54,81,sex_male,Size_3,age_36_45,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,175571.7445942487,86.47567210465131,125.90082575335738,68.64992826398853,303.9033510495165
55,82,sex_male,Size_6,age_36_45,Education_High_School,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,128058.50030646338,79.52264021458669,83.42346101084259,68.64992826398853,0.0
56,83,sex_male,Size_3,age_46_55,Education_Post_Graduate,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,214771.7068722748,90.61744757702309,167.46909947598806,68.64992826398853,391.9658528872794
57,86,sex_male,Size_5,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,209122.88842051174,98.52950561305187,153.87539224401556,68.64992826398853,0.0
58,87,sex_female,Size_4,age_56_65,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,247895.49885351144,107.25354636749367,183.85929375460978,68.64992826398853,0.0
59,88,sex_female,Size_4,age_0_18,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,176603.90889688703,79.6631846524547,127.90719057614362,68.64992826398853,0.0
60,89,sex_male,Size_4,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,175915.07070186862,79.00257583456285,130.71971435709966,68.64992826398853,0.0
61,90,sex_female,Size_4,age_26_35,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,229608.55705467376,95.00375165400233,164.68611100459844,68.64992826398853,0.0
62,91,sex_male,Size_4,age_46_55,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,189650.38199139189,90.08934355122847,137.61447031723745,68.64992826398853,56.36417816429678
63,92,sex_male,Size_4,age_56_65,Education_Elementary_School,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,125339.4789022552,78.06861854121041,96.88363287825096,68.64992826398853,0.0
64,93,sex_male,Size_3,age_66_75,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,197539.06008299012,93.64461601968542,143.7777375851632,68.64992826398853,7.07913732447645
65,94,sex_male,Size_3,age_56_65,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,232352.30186444992,99.94103059229806,163.8112115023118,68.64992826398853,0.0
66,95,sex_male,Size_3,age_46_55,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,186533.13086521605,92.5610412212209,132.246896722759,68.64992826398853,357.81159279303665
67,96,sex_female,Size_4,age_26_35,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,228833.3393202838,95.41505583065118,163.1438956972283,68.64992826398853,0.0
68,97,sex_male,Size_5,age_46_55,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,245694.83266689442,99.63446215303986,178.04857298819613,68.64992826398853,51.13812889738732
69,101,sex_female,Size_6,age_46_55,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,222421.4649790458,92.46120677716127,163.4636258356886,68.64992826398853,0.10646344013413811
70,102,sex_female,Size_5,age_66_75,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,222861.64862600106,94.39397507658396,162.15728414851668,68.64992826398853,0.0
71,103,sex_male,Size_5,age_36_45,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,202011.29042420376,94.23088926365874,144.33498359140657,68.64992826398853,11.093386019994222
72,104,sex_male,Size_2,age_46_55,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,213549.38226572092,95.38700543234312,149.8225765212017,68.64992826398853,206.5688457710054
73,106,sex_male,Size_6,age_56_65,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,214480.55561061075,86.19806088929064,153.40558360405092,68.64992826398853,0.0
74,107,sex_male,Size_6,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,207777.96396274472,89.20370296427413,150.4955301661803,68.64992826398853,0.0
75,109,sex_male,Size_3,age_46_55,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,225944.82250869996,92.59298191837787,159.6061399109932,68.64992826398853,343.94809392690956
76,110,sex_male,Size_4,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,227868.8266511629,92.94898489679939,165.33655181263615,68.64992826398853,0.0
77,111,sex_female,Size_7,age_36_45,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,263466.98742392135,100.9581080544471,193.01577083997003,68.64992826398853,0.0
78,112,sex_male,Size_5,age_76_85,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,228501.7652431311,97.77181040588852,162.63824065620958,68.64992826398853,0.0
79,113,sex_male,Size_2,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,170935.73336577468,81.09327447370302,124.94379660765362,68.64992826398853,221.6232900682224
80,116,sex_female,Size_7,age_26_35,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,214183.2786993056,89.1974506950318,154.71692745371553,68.64992826398853,0.0
81,117,sex_male,Size_7,age_26_35,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,211048.2262142711,89.25638333119139,152.38355195487304,68.64992826398853,0.0
82,118,sex_male,Size_7,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,221374.61733870854,93.5650693234221,160.11086675337646,68.64992826398853,38.49493206327553
83,119,sex_female,Size_6,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,233262.79286331183,92.73854771001612,169.68223379384844,68.64992826398853,0.0
84,120,sex_female,Size_6,age_86_100,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,247378.05499320565,96.05610840882443,184.89989721644685,68.64992826398853,0.0
85,123,sex_male,Size_6,age_56_65,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,262424.6216397884,102.17448774659341,185.83512338100059,68.64992826398853,0.0
86,124,sex_male,Size_3,age_56_65,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,230976.44242796226,93.44925921784042,163.98356307105888,68.64992826398853,0.0
87,125,sex_male,Size_3,age_46_55,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,228933.87074409856,92.19567306489775,162.87578906532374,68.64992826398853,343.3526212113646
88,127,sex_male,Size_6,age_46_55,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,172035.6775477934,85.48568529314508,116.73047662078683,68.64992826398853,25.03855868254569
89,128,sex_male,Size_7,age_66_75,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,244338.728060576,97.09332479066538,182.18004909544766,68.64992826398853,0.0
90,129,sex_male,Size_2,age_56_65,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,224132.55576703371,96.37226915893136,158.64258643841083,68.64992826398853,0.0
91,130,sex_male,Size_2,age_36_45,Education_High_School,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,129965.72454935765,86.62132586895876,99.50248774216821,68.64992826398853,100.82228685142664
92,132,sex_male,Size_5,age_36_45,Education_Post_Graduate,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,225978.8278176635,94.90880790629504,173.86668228223513,68.64992826398853,45.247646114236964
