,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_AC,e_Cooking,e_Refrigeration,e_Urban,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_19_25,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,172600.73099140407,90.14140372168599,125.89592173416473,68.37412095639944,0.0
1,2,sex_female,Size_2,age_19_25,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,161448.71067353862,78.56828751126551,116.24053185779105,68.37412095639944,0.0
2,6,sex_male,Size_5,age_26_35,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,192521.14073303298,88.34702472665526,133.69088274126628,68.37412095639944,0.0
3,7,sex_male,Size_4,age_56_65,Education_Post_Graduate,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,228998.88548955263,99.1545452302647,182.92959446462575,68.37412095639944,0.0
4,8,sex_male,Size_4,age_56_65,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,242726.24471230083,97.67551172357965,175.11438293686632,68.37412095639944,0.0
5,9,sex_female,Size_5,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,203725.19995952357,92.74494977358253,148.05703950483297,68.37412095639944,0.0
6,11,sex_female,Size_7,age_56_65,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,235338.42520928357,99.35148497046382,171.68809514666486,68.37412095639944,0.0
7,12,sex_female,Size_4,age_46_55,Education_Post_Secondary,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,197366.88125917307,86.36031042837267,141.7490342826064,68.37412095639944,8.57899793966029
8,13,sex_female,Size_4,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,196382.23389035655,91.46918759188979,144.90675245688664,68.37412095639944,0.0
9,14,sex_male,Size_6,age_19_25,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,194535.46225163227,95.7297189302784,143.29162551237204,68.37412095639944,0.0
10,15,sex_male,Size_6,age_36_45,Education_Post_Secondary,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,209037.5470491387,95.09896369654558,153.18475022636918,68.37412095639944,0.0
11,17,sex_male,Size_3,age_46_55,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,181508.72499284614,88.763681015063,131.02448171227107,68.37412095639944,385.11102977881416
12,19,sex_male,Size_4,age_36_45,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,233987.73339019835,100.37276359511675,168.9255708469597,68.37412095639944,0.0
13,20,sex_male,Size_5,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,198954.54258320903,86.55708224530356,141.5665735689696,68.37412095639944,14.365410433989164
14,21,sex_male,Size_2,age_26_35,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,159793.53392403285,82.06757232096602,116.34670009628894,68.37412095639944,0.0
15,23,sex_female,Size_2,age_26_35,Education_College,AC_yes,Cooking_no,Refrigeration_no,Urbanity_Urban,206688.91530771964,77.57787745913907,144.57773607601362,68.37412095639944,48.76828367551172
16,27,sex_male,Size_2,age_46_55,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,216413.32317158688,88.41069971678722,155.2171517390388,68.37412095639944,150.14548764018377
17,28,sex_female,Size_2,age_56_65,Education_Post_Graduate,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,212469.55267627188,95.93566445237465,166.83673323259654,68.37412095639944,0.0
18,29,sex_male,Size_2,age_46_55,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,213490.75028225864,91.33679925039696,157.56035403399244,68.37412095639944,150.14548764018377
19,31,sex_male,Size_3,age_26_35,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,167518.63098067592,85.78831694085,119.1307857376978,68.37412095639944,172.1147689062857
20,34,sex_male,Size_4,age_26_35,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,177908.09406116456,86.75498049000895,126.32177784119061,68.37412095639944,0.0
21,35,sex_male,Size_5,age_46_55,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,205247.68865506802,95.17029013896769,152.66706359837048,68.37412095639944,56.62828386470387
22,36,sex_male,Size_5,age_76_85,Education_High_School,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,186082.68255562417,91.49715778807877,140.14393706574256,68.37412095639944,0.0
23,38,sex_male,Size_5,age_19_25,Education_Post_Secondary,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,183042.2417510541,85.838836681123,133.95940476097957,68.37412095639944,0.0
24,40,sex_male,Size_4,age_19_25,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,218651.41254607594,96.12686889121791,158.9312682309459,68.37412095639944,0.0
25,42,sex_male,Size_3,age_26_35,Education_Post_Graduate,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,200761.47109251583,93.55308691534549,156.74018586095326,68.37412095639944,180.6292200195631
26,43,sex_male,Size_3,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,182093.10733185583,89.83532472597047,133.0515415814129,68.37412095639944,342.84815634809945
27,44,sex_male,Size_3,age_46_55,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,178780.75154606474,85.34182623593409,128.97394182975106,68.37412095639944,385.11102977881416
28,45,sex_male,Size_5,age_46_55,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,203447.28235125807,85.03368961929259,151.78113018969836,68.37412095639944,56.62828386470387
29,46,sex_male,Size_2,age_66_75,Education_College,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,226082.59148313684,87.26664657945342,156.42856744240586,68.37412095639944,0.0
30,47,sex_male,Size_4,age_36_45,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,231194.1468204024,96.5557671601523,165.33268047327456,68.37412095639944,0.0
31,48,sex_female,Size_6,age_19_25,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,203201.67793315576,92.38889730752226,148.95726003997427,68.37412095639944,0.0
32,49,sex_male,Size_4,age_46_55,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,240682.05148514308,105.56935896685944,172.26143182357796,68.37412095639944,37.87242160967701
33,50,sex_male,Size_5,age_36_45,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,240857.56226159658,103.45024035551481,172.61710443318304,68.37412095639944,0.0
34,51,sex_male,Size_5,age_26_35,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,235853.6844966015,96.29340538445489,170.28054228943213,68.37412095639944,0.0
35,53,sex_female,Size_8,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,236413.8124328162,98.83969264312226,172.77788461145317,68.37412095639944,0.0
36,56,sex_male,Size_5,age_66_75,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,216576.070085472,95.91408828967288,156.20252200080702,68.37412095639944,0.0
37,57,sex_male,Size_5,age_46_55,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,204124.89103325902,95.21390510246344,149.2641212879441,68.37412095639944,56.62828386470387
38,59,sex_male,Size_2,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,168413.708566403,82.67499792537345,122.47729427614284,68.37412095639944,123.22872668100965
39,61,sex_male,Size_4,age_36_45,Education_College,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,229736.32051373896,101.59844439435821,162.4897310800923,68.37412095639944,0.0
40,62,sex_male,Size_5,age_66_75,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,263569.9062691894,103.89244550488401,182.38614039227735,68.37412095639944,0.0
41,64,sex_male,Size_5,age_26_35,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,193235.09717579052,86.95087213512531,138.04376206077197,68.37412095639944,0.0
42,65,sex_male,Size_5,age_46_55,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,204196.16345803323,91.26674837711565,147.06723216977107,68.37412095639944,56.62828386470387
43,66,sex_male,Size_6,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,214721.21642349323,97.11052899019938,155.9052579133609,68.37412095639944,16.097601910518105
44,67,sex_male,Size_5,age_26_35,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,236733.4626029229,96.18326916077662,167.26324217564047,68.37412095639944,0.0
45,68,sex_male,Size_5,age_19_25,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,188632.4071548947,89.32071727938558,137.40932649496523,68.37412095639944,0.0
46,69,sex_male,Size_6,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,211026.03014769417,93.5294795052842,154.19120159326394,68.37412095639944,16.097601910518105
47,70,sex_female,Size_3,age_76_85,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,209103.941027605,93.93717208179756,156.26823404964563,68.37412095639944,0.0
48,72,sex_male,Size_4,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,188655.56786043127,89.07316877844673,137.1528873120399,68.37412095639944,10.955660650502917
49,73,sex_female,Size_5,age_56_65,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,219709.07666534712,95.18032699645103,160.2630666593523,68.37412095639944,0.0
50,75,sex_female,Size_7,age_26_35,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,263970.6161053785,101.60789859679527,190.79846781061903,68.37412095639944,0.0
51,76,sex_female,Size_4,age_36_45,Education_Post_Secondary,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,194458.04167422396,92.12570360873703,140.1995600905379,68.37412095639944,0.0
52,78,sex_male,Size_2,age_19_25,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,194082.85769713568,87.23480544789533,134.21011373136724,68.37412095639944,0.0
53,80,sex_male,Size_6,age_66_75,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,278422.840547001,111.35333784333685,207.28863846238426,68.37412095639944,0.0
54,81,sex_female,Size_2,age_56_65,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,231233.12001222552,101.34892082843274,169.51997167728888,68.37412095639944,0.0
55,82,sex_female,Size_2,age_66_75,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,197166.24494974618,93.22133858799961,147.1099795563811,68.37412095639944,0.0
56,85,sex_male,Size_2,age_26_35,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,158022.88913993197,78.09491186927211,115.50618191192056,68.37412095639944,0.0
57,86,sex_male,Size_2,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,167659.49790649975,81.81105976682623,123.10320635702648,68.37412095639944,123.22872668100965
58,87,sex_male,Size_4,age_26_35,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,179070.41453537464,89.11314503459336,128.8008860406023,68.37412095639944,0.0
59,88,sex_female,Size_6,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,215691.73538803408,97.49707319973575,158.5145992672377,68.37412095639944,0.0
60,89,sex_male,Size_6,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,209319.57684392305,95.08553158265605,148.6452212337577,68.37412095639944,16.097601910518105
61,90,sex_male,Size_4,age_36_45,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,231496.55824065817,101.45370247698406,160.3883239493972,68.37412095639944,0.0
62,91,sex_male,Size_2,age_46_55,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,214432.41436878836,89.95401256840753,157.33225411366445,68.37412095639944,150.14548764018377
63,92,sex_male,Size_2,age_26_35,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,161007.88812076833,82.1507830802357,120.55939241853547,68.37412095639944,0.0
64,93,sex_male,Size_5,age_46_55,Education_Post_Graduate,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,240158.67015739533,95.89285892840633,179.13574968495377,68.37412095639944,65.14273497798129
65,94,sex_male,Size_3,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,174555.66336099964,89.69359119193098,129.54956755139665,68.37412095639944,342.84815634809945
66,96,sex_male,Size_3,age_46_55,Education_Post_Graduate,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,217862.30952909513,90.98687639991753,163.76025114044435,68.37412095639944,369.52524552995567
67,97,sex_female,Size_5,age_56_65,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,258776.49285582535,101.20255100395788,194.83012811439374,68.37412095639944,0.0
68,98,sex_male,Size_3,age_26_35,Education_Elementary_School,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,98573.11306128911,64.47069771406011,76.9145224594851,68.37412095639944,220.7139979103904
69,99,sex_female,Size_2,age_46_55,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,219890.53089586,100.84228540138643,154.13338856546216,68.37412095639944,129.6061868607624
70,100,sex_female,Size_2,age_26_35,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,212908.6531802869,89.9242358922853,154.05440293677577,68.37412095639944,0.0
71,104,sex_male,Size_2,age_66_75,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,231942.38674134735,95.33672588908766,167.14688104736646,68.37412095639944,0.0
72,105,sex_male,Size_5,age_26_35,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,233269.32519387966,96.00439974391718,167.70482349172636,68.37412095639944,0.0
73,106,sex_male,Size_5,age_56_65,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,206545.4172780439,90.1417337157243,151.00479035489795,68.37412095639944,0.0
74,107,sex_male,Size_3,age_56_65,Education_Elementary_School,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,112035.93898312941,70.33663379374238,85.88104239753606,68.37412095639944,0.0
75,109,sex_male,Size_6,age_36_45,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,204331.93372737072,102.50735942375542,146.0834740868194,68.37412095639944,16.097601910518105
76,110,sex_female,Size_6,age_56_65,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,231226.5621309644,98.57270414698084,168.52095192013334,68.37412095639944,0.0
77,111,sex_male,Size_6,age_56_65,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,225113.703586808,92.67606064667861,161.82520640631478,68.37412095639944,0.0
78,112,sex_male,Size_2,age_26_35,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,159875.67909855113,82.95596303617936,119.37925424564698,68.37412095639944,0.0
79,113,sex_female,Size_2,age_19_25,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,155924.78184263414,81.91124293685085,114.06692933814067,68.37412095639944,0.0
80,114,sex_male,Size_5,age_26_35,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,232944.06204932317,99.95928752878302,167.38966235861758,68.37412095639944,0.0
81,116,sex_male,Size_3,age_66_75,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,236791.17464140494,96.4664884611418,171.67811735187402,68.37412095639944,9.13782471895256
82,119,sex_female,Size_2,age_66_75,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,234893.77150549792,98.81870403038663,170.41819676604698,68.37412095639944,0.0
83,120,sex_male,Size_3,age_46_55,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,224800.50116943306,97.74092968452213,164.03951584370552,68.37412095639944,369.76491730727355
84,121,sex_male,Size_3,age_46_55,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,225262.30379269712,97.93378212110113,164.13451646425483,68.37412095639944,369.76491730727355
85,122,sex_female,Size_3,age_46_55,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,235313.24928232894,101.57271500847666,172.9365999305248,68.37412095639944,349.2256165278522
86,123,sex_male,Size_4,age_46_55,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,235133.1965630047,98.88720454904238,167.7042530366941,68.37412095639944,37.87242160967701
87,124,sex_male,Size_3,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,168238.32466746107,80.31307549142092,124.10466031614384,68.37412095639944,148.01453354414969
88,127,sex_female,Size_7,age_36_45,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,265296.86804745195,108.56528834506118,195.2489664149543,68.37412095639944,13.791565320226749
89,129,sex_female,Size_6,age_26_35,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,207167.6365295363,91.49650505444053,146.53239040114016,68.37412095639944,0.0
90,130,sex_female,Size_7,age_56_65,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,238766.8452054725,103.56652730459545,176.82147976560256,68.37412095639944,0.0
91,131,sex_male,Size_3,age_46_55,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,186812.8808285452,88.15353831078075,136.06978083753452,68.37412095639944,385.11102977881416
92,132,sex_female,Size_2,age_66_75,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,234955.0393024245,95.62474572305211,169.8378187747339,68.37412095639944,0.0
93,133,sex_male,Size_3,age_19_25,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,207566.72298004708,96.75575932621713,151.04793434227756,68.37412095639944,3.43263842868478
94,134,sex_male,Size_4,age_66_75,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,246251.33664734205,97.16371581864189,172.06552329676165,68.37412095639944,0.0
95,138,sex_male,Size_5,age_26_35,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,190936.68233339768,89.04277509443772,140.82046415675754,68.37412095639944,0.0
96,140,sex_male,Size_4,age_36_45,Education_College,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,228572.88072374175,95.14807533804068,166.35203179312273,68.37412095639944,0.0
97,141,sex_male,Size_4,age_26_35,Education_Post_Secondary,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,181427.56010068653,79.66088311369982,133.74214338379596,68.37412095639944,0.0
98,142,sex_male,Size_4,age_46_55,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,194395.84149700077,92.38187299492704,140.91940328932657,68.37412095639944,53.21853408121762
99,143,sex_male,Size_4,age_56_65,Education_High_School,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,161271.74443508222,82.26590677042472,119.28141117135634,68.37412095639944,0.0
100,145,sex_male,Size_3,age_56_65,Education_Post_Secondary,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,190586.90555571366,94.84122200564381,142.41426789067413,68.37412095639944,0.0
