,Electricity,Income,Water,e_AC,e_Cooking,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
7,86.36031042837267,197366.8812591731,141.7490342826064,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,7.0,81.0,1,5.57899793966029
11,88.763681015063,181508.72499284614,131.02448171227107,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,11.0,81.0,1,145.11102977881416
13,86.55708224530355,198954.54258320906,141.5665735689696,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,13.0,81.0,1,5.365410433989165
15,77.57787745913906,206688.91530771964,144.57773607601362,AC_yes,Cooking_no,Refrigeration_no,Urbanity_Urban,Education_College,Size_2,age_26_35,sex_female,15.0,81.0,1,21.768283675511725
16,88.41069971678722,216413.32317158688,155.2171517390388,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,16.0,81.0,1,54.145487640183745
18,91.33679925039695,213490.75028225864,157.56035403399244,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,18.0,81.0,1,70.14548764018375
19,85.78831694085,167518.63098067592,119.13078573769779,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,19.0,51.0,1,108.11476890628572
21,95.17029013896769,205247.68865506802,152.66706359837048,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,21.0,81.0,1,18.628283864703867
25,93.55308691534547,200761.47109251586,156.74018586095326,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_26_35,sex_male,25.0,81.0,1,77.62922001956309
26,89.83532472597048,182093.10733185586,133.05154158141292,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,26.0,81.0,1,148.84815634809945
