,Electricity,Income,Water,e_Cooking,e_Lighting,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
3,99.18398816381954,229137.1065878566,183.0427446137356,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_56_65,sex_male,3.0,81.0,1,6.098071636405319
5,92.77355462213616,203858.6538133213,148.16181295936988,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,5.0,81.0,1,4.777601025160386
7,99.93987614602024,239826.71515354488,169.1307586350892,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_female,7.0,81.0,1,199.58054679173136
8,100.41335515238127,238856.8996964981,173.25487191568362,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,8.0,81.0,1,177.57461173299657
11,97.43755209346459,223967.21292930105,158.49293986841045,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,11.0,81.0,1,24.654999346204065
12,91.58976758301536,191808.44518463121,140.92375853615718,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,12.0,81.0,1,147.4396243897612
21,89.93716092986412,213843.8447443675,159.22381013951897,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,21.0,81.0,1,18.225933188180562
22,91.4027179161027,201127.00113585626,148.3371930827846,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,22.0,81.0,1,8.777601025160386
26,99.58582587216698,219792.59936581863,155.08118678672938,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,26.0,81.0,1,34.11698263617609
28,89.92332786710237,206563.98038970766,156.7085032184311,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,28.0,81.0,1,8.777601025160386
29,91.78388351064785,203718.0327083762,160.29798340509873,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_36_45,sex_male,29.0,81.0,1,45.59919704256944
